Marca temporal,GRADO,ACIERTOS,NOTA,VALORA_MEDIA,VALORA1,VALORA2,VALORA3,VALORA4,VALORA5,VALORA6,VALORA7,DEMO,P1,R_P1,P2,R_P2,P3,R_P3,P4,R_P4,P5,R_P5,P6,R_P6,P7,R_P7,P8,R_P8,P9,R_P9,P10,R_P10,P11,R_P11,P12,R_P12,P13,R_P13,P14,R_P14,P15,APRENDIZAJE1,APRENDIZAJE2
2022/10/25 12:33:42 p. m. EET,BIO,9,6.92,5.14,3,3,2,2,3,2,3,GafasVR,C,Acierto,B,Acierto,D,Acierto,A,Acierto,D,Acierto,C,Acierto,B,Fallo,B,,A,Fallo,C,Fallo,B,Acierto,D,Fallo,D,Acierto,B,Acierto,"r1 envía dicho datagrama a r3, r3 lo envía a pc4, pc4 responde a dicho datagrama y envía la respuesta a r2 que se la envía a r1 y r1 ahí ya lo reenvía",Me ha ayudado ya que la animación lo hace de una forma más dinámica y gráfica aunque la velocidad de animación era rápida por lo que necesitaba pausarlo,
2022/10/25 12:36:41 p. m. EET,BIO,9,6.92,7.14,3,3,3,4,4,4,4,Animacion3D,C,Acierto,C,Fallo,D,Acierto,A,Acierto,D,Acierto,B,Fallo,D,Acierto,D,,C,Acierto,B,Fallo,B,Acierto,A,Fallo,D,Acierto,B,Acierto,"r1 recibe por eth0 la trama Ethernet que contiene un datagrama IP prodedente de pc1 hacia pc4. Este observa su tabla de encaminamiento y ve que para dirigirse a 102.0.0.0/24 (dirección de pc4) debe seguir el camino 101.0.0.3 por eth1, es decir enviar el datagrama hacia r3 a través del hub.","Sí creo que me ha ayudado a entender mejor el funcionamiento de los protocolos, sobre todo porque he podido ir parando la animación para ver cómo se iban modificando las tablas de encaminamiento y las de caché de ARP.",
2022/10/25 12:39:04 p. m. EET,BIO,10,7.69,4.86,2,2,3,3,2,2,3,Diapositivas,C,Acierto,B,Acierto,D,Acierto,B,Fallo,D,Acierto,B,Fallo,D,Acierto,A,,C,Acierto,C,Fallo,B,Acierto,B,Acierto,D,Acierto,B,Acierto,"R1 envía ahora una solicitud ARP con destino 101.0.0.0/24 para conocer la dirección ethernet del r3 y así poder envíar este paquete. En cuanto al mensaje echo reply este no tiene que mandar solicitud de ARP, ya que tiene las direcciones ethernet en el caché.",,"Sí, ya que se todo mucho más claro."
2022/10/25 12:41:40 p. m. EET,BIO,7,5.38,6.29,4,3,3,3,4,3,2,Diapositivas,C,Acierto,B,Acierto,D,Acierto,A,Acierto,C,Fallo,B,Fallo,C,Fallo,A,,B,Fallo,B,Fallo,,Fallo,B,Acierto,D,Acierto,B,Acierto,"En primer lugar a pc1 quiere enviar un mensaje a la direccion IP de pc4, como no conoce su direccion Ethernet, lo que hace es enviar una solicutud ARP a r1. Por lo tanto, a r1 le llega una solicitud ARP preguntando por la direccion Ethernet origen, en este caso la direccion Ethernet destino era broadcast. R1 añade su direccion ethener origen y le manda la respuesta ARP",,Al visualizarlo con 3D me hubiese ayudado más a entender el proceso
2022/10/25 12:41:42 p. m. EET,BIO,6,4.62,6.00,3,1,3,3,5,3,3,GafasVR,C,Acierto,B,Acierto,,Fallo,B,Fallo,C,Fallo,D,Fallo,C,Fallo,A,,C,Acierto,C,Fallo,B,Acierto,,Fallo,D,Acierto,B,Acierto,r1envía de vuelta a pc1 que él tiene la dirección destino. Le llega la trama de pc1 y pregunta quién tiene la dirección hace pc4. r3 le responde y r1 le envíam la trama. (r3 se la enviará a pc4). Cuando pc4 recibe la trama y le responde le llega a r1 por el camino inverso.,Se ve de forma más visual (tal vez un poco rápido) y práctica. Aún así hay pasos que en este ejercicio me han resultado confusos.,
2022/10/25 12:43:01 p. m. EET,BIO,7,5.38,7.14,3,3,3,4,4,4,4,Diapositivas,C,Acierto,B,Acierto,C,Fallo,B,Fallo,C,Fallo,B,Fallo,D,Acierto,D,,C,Acierto,D,Acierto,B,Acierto,A,Fallo,D,Acierto,A,Fallo,,,
2022/10/25 12:43:32 p. m. EET,BIO,8,6.15,7.71,3,3,5,4,4,4,4,GafasVR,C,Acierto,B,Acierto,D,Acierto,D,Fallo,B,Fallo,C,Acierto,D,Acierto,A,,A,Fallo,C,Fallo,D,Fallo,B,Acierto,D,Acierto,B,Acierto,R1 mira en su  tabla si la dirección ip de pc4 pero como no la tiene coge el gateway 101.0.0.3 este le envia a r3 donde volvemos a mirar en la tabla de r2 si tiene la dirección ip de pc4 como no la tiene coge la dirección destino 102.0.0.0 con gateway 0.0.0.0 lo que significa que es el siguiente salto. Una vez en pc4 se aprende la dirección ethernet de pc1 y la direccion ip de pc1 por lo que mira en su tabla de direcciones y busca la direccion ip de pc1 como no esta coge la direccion destino 100.0.0.0 con gateway 102.0.0.2 llega a r2 y mira si tiene en su tabla de direcciones la direccion de pc1 como no la tiene coge la direccion gateway 101.0.0.1 la cual ya lleva a r1,"Si ayuda a entender mejor el suceso pero ayudaria más si se pudiera meter un audio explicando el proceso y así tu puedes ir viendo que sucede, qeu direcciones tiene cada ordenador mientras te van explicando que sucede en ele proceso de ping",
2022/10/25 12:43:40 p. m. EET,BIO,11,8.46,8.57,4,4,5,4,5,4,4,GafasVR,C,Acierto,B,Acierto,D,Acierto,B,Fallo,D,Acierto,B,Fallo,D,Acierto,A,,C,Acierto,D,Acierto,B,Acierto,B,Acierto,D,Acierto,B,Acierto,"r1 recibe un ARP request de pc1 para saber su dirección Ethernet, envía un ARP reply a pc1. De esta manera tanto pc1, como r1 almacenan la dirección Ethernet en el caché ARP. 

Le llega el mensaje ICMP con dirección IP de pc4, busca en la tabla de encaminamiento por donde enviarlo, que es por r3, envía mensaje ARP request a r3 para conocer su dirección Ethernet. Le llega el ARP reply de r3, y almacena en el caché ARP la dirección Ethernet de r3.
Envía el mensaje ICMP a r3. 

Más tarde, le llega un mensaje ARP request de r2, hace un ARP reply y almacena la dirección Ethernet de r2. 
Después le llega el mensaje ICMP con dirección IP de pc1, como ya conoce su dirección Ethernet se lo envía directamente. ","Sí, ayuda a tener más claros los pasos. 
Poder parar la animación en cualquier momento y ver que ha ocurrido en cualquier interfaz es un método bastante visual y claro. 
De todas maneras, la explicación previa me sigue pareciendo muy importante e incluso esencial. No pienso que las gafas sustituyan la explicación del profesor. ",
2022/10/25 12:43:48 p. m. EET,BIO,11,8.46,9.43,5,5,5,5,5,5,3,Animacion3D,C,Acierto,B,Acierto,D,Acierto,A,Acierto,D,Acierto,B,Fallo,D,Acierto,D,,B,Fallo,D,Acierto,B,Acierto,B,Acierto,D,Acierto,B,Acierto,"A r1 le llega la trama Ethernet que contiene el datagrama IP dirigido a pc4. R1 comprueba si la dirección IP del datagrama coincide con alguna de las direcciones IP de su interfaz. Como comprueba que no coinciden sabe que el datagrama IP no es para él. Como r1 está configurado como encaminador, este disminuye el ttl del datagrama IP en 1 y posteriormente consulta su tabla de encaminamiento. Revisa sus entradas, la IP no coincide con ninguna, revisa las entradas de máscara de red, coincide una entrada por lo que debe enviar el datagrama IP a la máquina con IP 101.0.0.3, para comprobar la dirección ethernet de la máquina con esa IP, mira su tabla de caché ARP para ver si tiene alguna dirección ethernet guardada. Pero no tiene ninguna, por tanto genera una solicitud ARP que le llega a pc3, r2 y r3. El único que la rellena es r3 que la rellena con su dirección ethernet y se guarda la dirección ethernet de r1 en su tabla de caché ARP. Cuando le llega la respuesta ARP a r1, este almacena la dirección ethernet de r3 junto a su dirección IP en su tabla de caché ARP. Ahora que conoce su dirección ethernet, le puede enviar el datagrama IP encapsulado en la trama ethernet. ","Me ha ayudado más que las diapositivas en clase porque verlo animado es más fácil y capta más tu atención que verlo en las diapositivas a pesar de que en las diapositivas está muy bien detallado. 

Lo que más me ha ayudado es el dinamismo de la animación pero me ha distraído el entorno y como aparecían los datos como la tabla de encaminamiento o la tabla de ARP caché. Además, parar la animación ha costado dado que el botón de reproducir no cambia si lo clickeas y es dficil determinar si la animación se ha parado o no correctamente. 

También me ha ocurrido que queriendo pararlo, le he dado a restart sin querer.  ",
2022/10/25 12:43:55 p. m. EET,BIO,7,5.38,6.00,3,2,4,4,2,4,2,GafasVR,B,Fallo,C,Fallo,B,Fallo,C,Fallo,D,Acierto,C,Acierto,B,Fallo,B,,D,Fallo,D,Acierto,B,Acierto,B,Acierto,D,Acierto,B,Acierto,r1 recibe el ICMP Echo Request y se guarda las direcciones de pc1 en r1 routing table y manda una solicitud de ARP. Lo envia por su interfaz eth1. Le vuelve el ICMP Echo Replay y se guarda las direcciones de pc4 en su routing table. A continuación se recibe la respuesta a la solicitud de ARP.,"Sí, la animación en 3D ayuda a responder mejor a las preguntas ya que al verlo en movimiento y no en diapositivas paradas entiendes mejor como funciona. Lo único que le faltaría a la animación es algo de voz explicando lo que pasa porque si ves la animación con la teoría entendida no hay mucho problema pero si no no se entendería muy bien.",
2022/10/25 12:45:45 p. m. EET,BIO,10,7.69,6.86,4,4,4,4,3,3,2,Animacion3D,C,Acierto,B,Acierto,D,Acierto,A,Acierto,D,Acierto,B,Fallo,D,Acierto,A,,B,Fallo,B,Fallo,B,Acierto,B,Acierto,D,Acierto,B,Acierto,"Una vez que r1 recibe la trama Ethernet dirigida a pc4, envía la trama a r3 según indica su tabla de encaminamiento pot la interfaz eth1. Para enviar ña trama a r3, r1 hace un ARP request a r3, r3 apunta en su caché la dirección Ethernet de r1 y envía un ARP reply a r1. Se envía la trama de r1 a r3.
r3 quiere enviar ahora la trama a pc4 que según su tabla de encaminamiento es su vecino. Al igual que antes, r3 hace un ARP request a pc4, que apunta la dirección ethernet de r3 y manda un ARP reply. La trama ya ha sido recibida en pc4.

Para enviar el ICMP reply, pc4 envía la trama a r2 según su tabla de encaminamiento a r2. Para ello, pide un ARP Request a r2, que apunta la dirección ethernet de pc4 y envía un ARP Reply. Pc4 envía la trama a r2.

Ahora r2 envía la trama a r1 según su tabla de encaminamiento a r1 mediante eth0. r2 manda a r1 un ARP Request, el cual apunta la dirección ethernet de r2 y envía un ARP reply. Se envía la trama de r2 a r1.

Por último, r1, que ya tiene guardada la dirección Ethernet de pc1 de cuando recibió la primera trama del principio, envía directamente la trama a pc1, sin ARP request.","Creo que el ir viendo paso a paso que ocurre exactamente en cada máquina facilita un poco el entendimiento de como funciona cada cosa, ya que permite parar la animación en un punto concreto en el que ocurre cada cosa en una máquina hasta que cada uno considere oportuno.",
2022/10/25 12:49:53 p. m. EET,BIO,9,6.92,7.43,4,4,4,4,3,3,4,GafasVR,C,Acierto,B,Acierto,D,Acierto,A,Acierto,D,Acierto,D,Fallo,C,Fallo,A,,D,Fallo,C,Fallo,B,Acierto,B,Acierto,D,Acierto,B,Acierto,"Primero recibe la solicitud ARP que proviene de pc1. Este desencapsula la trama y añade su dirección ethernet al campo destino. Forma el mensaje de respuesta ARP con la dirección Ethernet de pc1. Después recibirá el mensaje Echo ping.  Desencapsulará el mensaje (nivel de enlace, nivel de red..), y mandará la solicitud ARP según su tabla de encaminadores. Más tarde, recibirá la respuesta de ARP. Lo desencapsulará también y enviara el echo ping hasta el pc de destino.","Si, yo creo que me ha ayudado porque se puede observar el proceso unido y con mucho más dinamismo, lo que hace que lo entiendas mejor. Además, teniendo en cuenta lo interesante que es visualizarlo, yo creo que prestas más atención. 
La verdad que me han ayudado todos.",
2022/10/25 12:53:34 p. m. EET,BIO,10,7.69,6.29,3,3,4,3,3,3,3,GafasVR,C,Acierto,B,Acierto,D,Acierto,B,Fallo,D,Acierto,B,Fallo,D,Acierto,A,,A,Fallo,D,Acierto,B,Acierto,B,Acierto,D,Acierto,B,Acierto,"r1 recibe mensaje arp que contiene su dirección IP como target IP, y la IP de pc1 como sender ip. La anota en su tabla de direcciones arp.
r1 envía un mensaje arp a pc1 identificándose. 
r1 recibe el datagrama de pc1. 
r1 consulta por su interfaz eth1, ya que sabe que la dirección IP de destino que ha recibido tiene su encaminador en esa red, la direcdción ethernet del encaminador.
Reibe la respuesta y envía la trama.
","Sí, gracias a poder seguir en tiempo real, pudiendo detener el proceso para observar los datos de todos los mensajes y máquinas, posees todos los datos para resolver la mayoría de dudas que pueden surgir.",
2022/10/25 12:53:50 p. m. EET,BIO,11,8.46,6.86,4,4,2,4,5,3,2,Animacion3D,C,Acierto,B,Acierto,D,Acierto,A,Acierto,D,Acierto,B,Fallo,B,Fallo,A,,C,Acierto,D,Acierto,B,Acierto,B,Acierto,D,Acierto,B,Acierto,"El datagrama IP llega a r1 desde pc1, le resta 1 a su TTL y empieza a analizar si tiene en su tabla de enrutamiento alguna dirección que se corresponda con la de destino de dicha máquina. Se da cuenta de que tiene una subred correspondiente, por lo que manda un mensaje ARP dirigido a su vecina para conocer su dirección IP. Como lo manda directamente a 101.0.0.3, solo r3 procesa su petición, aunque también llegue a pc3 y r2 por el broadcast. 
r3 guarda en su caché ARP la dirección de r1 y le devuelve una respuesta con su dirección eth. Al recibirla, r1 se la guarda en su caché ARP y luego manda el datagrama IP hacia r3.
R3 comprueba la dirección de destino del datagrama, le resta 1 a su TTL y analiza si se encuentra en su tabla de encaminación. Comprueba que sí lo hace, con una gateway de 0.0.0.0, por lo que envía un mensaje de ARP para encontrar la dirección eth de pc4. pc4 recibe el mensaje, se guarda la dirección de r2 en su caché y luego devuelve su dirección. Gracias a esto r3 encamina el datagrama hacia pc4.
Una vez en pc4 el datagrama entero se procesa y se crea una respuesta. Pc4 mira en su tabla de encaminamiento, que dirige su mensaje hacia r2, por lo que manda un mensaje ARP para conocer su dirección eth. Cuando recibe el mensaje de vuelta se lo guarda en su caché y lo manda hacia r2.
R2 repite el proceso. Reduce en 1 el TTL, pero como ya tenía la dirección eth de r1 en su tabla de caché de ARP, manda directamente el datagrama a r1, quien ya tiene en su caché de ARP la máquina de destino, y tras reducir su TTL en 1 lo mandará directamente a pc1","Considero que es bastante menos confuso que las diapositivas, ya que es como una versión  interactiva y en tiempo real de las mismas. Además, el tener todo simplificado en formas y colores permite asociar mejor los conceptos y las cabeceras. 
Sin embargo, que las cajas de texto a veces se superpongan unas con otras puede llegar a resultar algo confuso, porque se quedan zonas de tablas escondidas detrás de los cuadrados o hay frases que se mezclan unas con otras. Además, se me hace algo difícil leer lo que pone en los PCs cuando se hacen grandes porque la letra es muy pequeña y se mira desde un ángulo de contrapicado.",
2022/10/25 12:58:18 p. m. EET,BIO,11,8.46,9.43,5,5,5,5,5,4,4,Diapositivas,C,Acierto,B,Acierto,D,Acierto,B,Fallo,C,Fallo,C,Acierto,D,Acierto,A,,C,Acierto,D,Acierto,B,Acierto,B,Acierto,D,Acierto,B,Acierto,"Antes que nada, pc1 mira su tabla de encaminamiento para saber lo tiene que mandar a r1.

1. A r1 le llega una solicitud de ARP (preguntando por la dirección Ethernet de r1, del cual sabe su dirección IP porque es la que sale en su tabla de encaminamiento) por parte de pc1 encapsulada en una trama Ethernet con dirección destino broadcast (ya que pc1 no tenía en su caché ARP dicha dirección).
2. Al tener destino broadcast, r1 acepta el ARP y ve que que la dirección IP por la que están preguntando la dirección Ethernet es la suya.
3. Primero, almacena en su caché ARP la dirección IP y Ethernet asociadas a pc1 (que venían en la solicitud ARP).
4. Después, envía un ARP de respuesta con dirección IP destino la de pc1 y con dirección Ethernet origen la suya propia (que era por la que estaba preguntando pc1).
5. pc1 ya sabe la dirección Ethernet a la que tiene que enviar su mensaje (que se la guarda en su caché de ARP), por lo que mete su cabecera IP (con dirección origen la suya y con dirección IP la de pc4) en una cabecera Ethernet (con dirección origen la suya y con dirección destino la de r1).
6. Una vez que r1 recibe esta trama, la procesa, ve que es para él, le resta 1 al TTL y mira en su tabla de encaminamiento por donde tiene que reenviarlo. Comprueba que tiene que reenviarlo por su eth1 al r3...¿pero tiene la dirección Ethernet de r3?
7. Comprueba en su caché de ARP y ve que no tiene la dirección de r3, por lo que enviará una solicitud de ARP preguntando por la dirección Ethernet de r3, encapsulada en una trama Ethernet con dirección destino broadcast y dirección origen la suya.
8. Esta solicitud de ARP le llegará a r3 (guardándose las direcciones de r1), que procesará la cabecera de Ethernet, verá que están preguntando por ella, y mandará una respuesta ARP encapsulada en una trama Ethernet con dirección origen la suya y dirección destino la de r1.
9. Cuando esto le llegue a r1, guardará las direcciones de r3 en su  caché de ARP y reenviará, ya sí, la trama IP (origen pc1 y destino pc4) encapsulada en una trama Ethernet (origen la suya y destino la de r3).
",,"Creo que ver el movimiento de las distintas solicitudes de ARP, que se vayan completando los cachés de ARP, que una máquina descarte un paquete... puede ser muy útil.
Pero sinceramente, yo creo que me ha quedado bastante claro con tan solo ver las dispositivas, las explicaciones del profesor y la resolución que he ido recibiendo de las preguntas que me surgían."
2022/10/25 12:59:34 p. m. EET,BIO,11,8.46,7.14,4,4,3,3,4,4,3,GafasVR,C,Acierto,B,Acierto,D,Acierto,A,Acierto,D,Acierto,B,Fallo,D,Acierto,A,,B,Fallo,D,Acierto,B,Acierto,B,Acierto,D,Acierto,B,Acierto,"Al recibir la trama Ethernet con el datagrama IP dirigido a pc4, el r1 primero mira en el caché de ARP si tiene la dirección ethernet correspondiente a la IP destino, sólo tiene guardada la dirección ethernet del pc1 (la había guardado antes al recibir el primer ARP del pc1), al ver que no tiene la dirección ethernet correspondiente a la IP destino, mira en su tabla de encaminamiento para ver hacia dónde la tiene que enviar para encaminar la trama hacia su destino. La dirección no coincide con ninguna dirección de máquina por lo que procede a mirar la dirección de red. Esta coincide con la 102.0.0.0 por lo que el gateway correspondiente (la máquina vecina a la que lo tiene que enviar) es al 101.0.0.2 pero no tiene su dirección ethernet. Por esto envía un ARP encapsulado en una trama ethernet con dirección destino broadcast. El r3 le envía una reply y el r1 se guarda en su caché de ARP la dirección ethernet del r3. Después de esto le envía al r3 el datagrama IP encapsulado en la trama ethernet siendo la dirección ethernet destino la del eth0 del r3.",He visto la animación 3D con gafas y creo que la animación 3D me ha ayudado a visualizar mejor la formación de los mensajes al ponerse poco a poco un protocolo encima de otro y enseñar cómo se van guardando los datagramas a un lado mientras procesa las cabeceras que va a enviar. Sobre todo me ha ayudado el poder rebobinar la formación en cuanto me empezase a confundir o me surgiese alguna duda ya que puedes ir paso a paso viendo el proceso y repitiendo las partes más complejas (al ser mucha información está bien poder repetir cada paso para asegurarse de qué dato estamos mirando en cada parte). Creo que sin la animación 3D podría haberme confundido más.,
2022/10/25 12:59:39 p. m. EET,BIO,9,6.92,8.57,3,5,3,5,5,5,4,Diapositivas,C,Acierto,B,Acierto,D,Acierto,A,Acierto,C,Fallo,C,Acierto,D,Acierto,A,,B,Fallo,B,Fallo,B,Acierto,A,Fallo,D,Acierto,B,Acierto,"Primero r1 recibe un mensaje ARP proveniente de pc1, que como viene de broadcast lo tiene que procesar, le quita la cabecera ethernet y mira los campos arp. Al ver que preguntan por ella, elabora un mensaje de ARP respuesta que va dirigido sólo para pc1. Tambié aprende que pc1 tiene esa dirección ip y ethernet en su cache ARP. Ahora, el datagrama original (que va para pc4) es recibido pr r1 (que le resta 1 a su valor TTL) y mira en su tabla de encaminamiento  lo tiene que mandar a 101.0.0.3 y como no conoce la direccion etherney elabora un mensaje arp broadcast. Cuando es recibido y elaborado el mensaje ARP respuesta por parte de r3, r1 aprende en su cache ARP la direccion ip y ethernt de r3. Lo manda ahora (el datagrama original) por su interfaz eth1 dirigido solamente a r3.
Cuando el mensaje ahora viene por prte de pc4, a r1 le llega una solicitud ARP por parte de r2 preguntando por su dirección ehernet. R1 aprende la dirección de r2 y le manda su ARP respuesta. Cuando le llega el datagrama original a r1, le resta 1 a su valor TTL y mira su tabla de encaminamiento. Como ve que getway =0000, significa que está en su misma subred y por lo tanto debe mandarlo a una máquina vecina de esa subred. Mira en su cache de ARP y como ha aprendido desde el principio, sabe donde está esa dirección IP, y la tiene asociada a la dirección ethernet de pc1, así que lo manda directamente con la cabecera de ethernet destinada a pc1.",,"Sí, aprendiendolo por las transparencias es útil pero lo sería mucho más verlo. Hay veces que es más sencillo recordar algo o aprenderlo de manera visual que sólo teórica. Además, como se mandan muchos mensajes, tanto solicitudes ARP, como el propio datagrama original, pasan muchas veces los mensajes por cada máquina y puede resultar muy lioso y compliado responder a las preguntas si hago el esquema solo en papel."
2022/10/25 1:01:26 p. m. EET,BIO,11,8.46,6.29,3,4,2,2,3,4,4,Animacion3D,C,Acierto,B,Acierto,D,Acierto,A,Acierto,D,Acierto,B,Fallo,D,Acierto,A,,B,Fallo,D,Acierto,B,Acierto,B,Acierto,D,Acierto,B,Acierto,"Cuando r1 recibe la trama, primero comprueba la direccón Ethernet destino para comprobar que va dirigida a él. Una vez que sabe que es el destinatario, añade al datagrama recibido la cabecera de ICMP, la cabecera IP, quita al TTL 1 y si este no es 0 añade una cabecera Ethernet con la dirección Ethernet de origen y de destino
Cuando r1 recibe la trama, comprueba la dirección Ethernet para saber que va dirigido a él. Quita 1 al TTL y como no es 0, procesa la cabecera IP y mira en su tabla de direcciones para ver la interfaz de red por la que mandarlo y la máquina a la que enviarlo. Como no conoce la dirección Ethernet guarda el mensaje en su caché y manda un ARP request. Una vez que ha recibido la respuesta a este ARP, se añade la dirección Ethernet a su caché de ARP y esta se pone en la cabecera Ethernet del datagrama como dirección Ethernet destino. Una vez hecho esto el mensaje se manda a la máquina correspondiente.","Sí, me ha ayudado a entender el funcionamiento de ARP y en que momento se añaden las direcciones Ethernet a la caché ARP además de a comprender como se envían mensajes de una máquina a otra en general.",
2022/10/25 1:03:12 p. m. EET,BIO,9,6.92,8.57,5,5,3,4,5,4,4,GafasVR,C,Acierto,B,Acierto,D,Acierto,B,Fallo,C,Fallo,B,Fallo,D,Acierto,A,,B,Fallo,D,Acierto,B,Acierto,B,Acierto,D,Acierto,B,Acierto,"r1 recibe en eth0 la trama dirigida a pc4, procesa la cabecera Ethernet y ve que el mensaje es para ella, por tanto, continua analizando. A continuación, mira la cabecera IP y ve que la dirección destino no es ella si no que es pc4. Por lo que procederá a encaminar el mensaje . Para ello mira su tablas de encaminamiento, como hay que mandárselo a 102.0.0.40 mira si está guardada esa dirección  tal cual, como no lo está mira si está su dirección de red (102.0.0.0/24). Esta dirección está, así que r1 sabe que tiene que reenviar la trama por eth1 hacia la máquina con dirección IP 101.0.0.3 (que se corresponde con r3). Para reenviarla tiene que componer una nueva cabecera Ethernet, pero como  no conoce cual es la dirección Ethernet de r3 primero tiene que manadar un mensaje de solucitud Arp (que estará englobado dentro de una trama Ethernet con dirección de destino broadcast).
La trama ARP llega al hub y el hub se la manda a pc3, r2 y r3.
Pc3 y r2 procesrán la trama pero la descartarán ya que no conocen la dirección IP por la que se pregunta,  no es la suya.
r3 cuando reciba la trama la procesrá (ya que es para ella) y se guarda en caché la información referente a las direcciones de r1.
Después, formula una mensaje ARP reply informando de su dirección mac ( que estará dentro de una trama Ethernet que tiene como dirección  destino solo la de r1, sabe cual es porque se la  acaba de guardar en caché).
El mensaje ARP reply llega al hub y pasa a r1, pc3 y r2. Solo procesará la información r1 que es al que va dirigida.
R1 se guarda en caché la información de las direcciones de r3.
Acabará reenviando el mensaje de pc1, ahora rellenando la dirección Ethernet destino con la  de r3.","Yo creo que si me ayudado porque permite concentrarte en lo que estas viendo mejor que con las diapositivas de clase. Además, puedes parar la animación en cualquier punto y mirar de cerca algún detalle y repetirla hasta que te ha quedado claro.",
2022/10/25 1:04:30 p. m. EET,BIO,10,7.69,7.43,4,3,4,3,5,3,4,Animacion3D,C,Acierto,B,Acierto,D,Acierto,A,Acierto,C,Fallo,C,Acierto,D,Acierto,A,,B,Fallo,B,Fallo,B,Acierto,B,Acierto,D,Acierto,B,Acierto,"1) Verifica en su tabla de encaminamiento si presenta una entrada con una dirección de red que coincida con la dirección destino. En este caso coincide que el destino pertenece a la subred 102.0.0.0.
2) Como su gateway es la máquina 101.0.0.3, envía una solicitud arp encapsulada en una trama ethernet con dirección de destino broadcast (el datagrama IP permanece en r1), para obtener la dirección MAC vinculada a la IP de gateway.
5)La trama ethernet es procesada por todas las máquinas vecinas en cuanto al nivel de enlace, luego pasa al nivel de arp para verificar si la IP objetivo coincide con la suya,si es así, Añade en su caché de ARP la dirección ethernet e IP (para nuestro caso r3 obtiene las de r1). De no coincidir. descarta el datagrama.
4)Una vez procesado el mensaje, r3 genera un mensaje de reply de ARP, que tiene como direcciones ip y ethernet destino las de r1, ya aprendidas en su caché. Lo envía al hub y éste al resto de máquinas vecinas, donde sólo r1 procesará la trama ethernet, y su mensaje ARP de respuesta, obteniendo la dirección ethernet de r3, que anotará en su caché de ARP.
5) Finalmente, ya  con la información necesaria, r1 reenvía o encamina el datagrama IP a r3 con un TTL de 63 ",,"Dado que la animación es la misma tanto desde el ordenador como en las gafas de realidad virtual, siguen un mismo mecanismo que se puede apreciar en ambos medios, que es la construcción del datagrama IP y su transporte de forma dinámica. No obstante, la visualización en realidad virtual aumenta la imersión y permite un seguimiento ""más real"". La respuesta a las preguntas no hubiese variado significativamente entre medios."
