Marca temporal,GRADO,ACIERTOS,NOTA,VALORA_MEDIA,VALORA1,VALORA2,VALORA3,VALORA4,VALORA5,VALORA6,VALORA7,DEMO,P1,R_P1,P2,R_P2,P3,R_P3,P4,R_P4,P5,R_P5,P6,R_P6,P7,R_P7,P8,R_P8,P9,R_P9,P10,R_P10,P11,R_P11,P12,R_P12,P13,R_P13,P14,R_P14,P15,APRENDIZAJE1,APRENDIZAJE2
2022/10/25 1:06:26 p. m. EET,BIO,10,7.69,8.29,4,4,4,4,5,4,4,Animacion3D,C,Acierto,B,Acierto,D,Acierto,A,Acierto,C,Fallo,B,Fallo,D,Acierto,,,D,Fallo,D,Acierto,B,Acierto,B,Acierto,D,Acierto,B,Acierto,"mira su tabla de encaminamiento y ve que:
no hay ninguna dirección de maquina corespondinete,
 el gateway para entregar a la red de pc4 (102.0.0.0) es r3 (101.0.0.3).
prepara la cabecera Eth pero le falta la direccíon MAC de r3.
entonces envía a tráves de eth1 una solicitud ARP encapsulada en una cabecera eth para broadcast.
luego recibe de r3 una respuesta arp con su dirección eth y la añade a su ARP cache.
al final, completa la cabecera eth con la dirección MAC de r3 y le envía el paquete","la animación es sintetica y permite de ver todas y solas las cosas esenciales paso a paso, viendo donde estan yendo los paquetes.
Los colores diferentes de los paquetes son muy utiles.
Sería interesante poder mirar siempre las tablas de cache de ARP de cada maquina y las de encaminamiento tmb",
2022/10/25 1:07:26 p. m. EET,BIO,8,6.15,8.29,4,3,5,4,4,5,4,Diapositivas,C,Acierto,C,Fallo,B,Fallo,A,Acierto,D,Acierto,B,Fallo,D,Acierto,A,,C,Acierto,B,Fallo,B,Acierto,B,Acierto,D,Acierto,C,Fallo,"Primero, PC1 al comprobar en su tabla de direcciones manda al destino por defecto 0.0.0.0 la trama a R1. En ese momento, R1 aprende la dirección de PC1, que es la máquina que le ha enviado la trama. Después, al comprobar en su tabla de direcciones R1 envía la trama a la dirección vecina 101.0.0.3 correspondiente a R3. En PC3, al revisar su tabla de direcciones llegará a pc4 por 0.0.0.0, que es su vecina. Desde PC4, este realizará la respuesta con su dirección y la enviará a R2 al mirar en su tabla de direcciones. Desde R2, al comprobar la tabla de direcciones, enviará la información a R1. En este momento, este aprende la dirección de la máquina de la que le llega información, en este caso R2 y envía el mensaje a PC1, pues ya ha aprendido su dirección.",,Creo que la explicación en clase ha sido también bastante válida para contestar el cuestionario aunque hay algunas cosas puntuales que repasar
10/25/2022 14:26:03,ROB,6,4.62,6.29,3,3,4,3,2,4,3,Animacion3D,C,Acierto,B,Acierto,C,Fallo,D,Fallo,C,Fallo,,Fallo,D,Acierto,A,,D,Fallo,B,Fallo,B,Acierto,A,Fallo,D,Acierto,B,Acierto,"Primero, le llega un mensaje de ARP request preguntando por ladirección de pc4, como tiene acceso a esta máquina, envía una trama ARP request a pc1 con su dirección ethernet para que el mensaje pueda ser enviado, despues, pc1 envía el mensaje directamete por r1, y este llega a r2 y r3, a quienes se pregunta si tienen acceso a pc4, de las cuales responde r3, y ya se manda el mensaje, luego, el proceso es el contrario, pero sin preguntar de nuevo a r1 si tiene acceso a pc1, ya que se habra guardado la respuesta afirmativa en su caché de arp.","Consideraría que si, pero creo que vendría mejor que la animación fuera un poco más despacio, o, que se pudiera regular la velocidad con la que se reproduce, para que cada uno de nosotros la vea a su propio ritmo.",
10/25/2022 14:26:09,ROB,5,3.85,4.86,3,2,3,2,2,2,3,GafasVR,A,Fallo,B,Acierto,D,Acierto,B,Fallo,C,Fallo,C,Acierto,B,Fallo,B,,C,Acierto,B,Fallo,A,Fallo,,Fallo,A,Fallo,B,Acierto,,si,
10/25/2022 14:28:08,ROB,8,6.15,6.57,4,4,3,4,,4,4,Animacion3D,C,Acierto,B,Acierto,D,Acierto,B,Fallo,D,Acierto,C,Acierto,D,Acierto,A,,D,Fallo,D,Acierto,,Fallo,A,Fallo,D,Acierto,A,Fallo,"En primer lugar r1 recibe la trama de pc4 que ha sido reenviada por r3 entonces este como ya conoce la direción ethernet de pc1 puesto que antes ya mandó un mensaje , simplememte tiene que reenviarle la informacion a pc1 atraves del hub para que solo este la procese ","Si , puesto que todo es mas intuitivo y visual y puedes parar la animacion cuando quieras por si tienes alguna duda.",
10/25/2022 14:28:31,ROB,7,5.38,6.57,3,3,3,3,3,4,4,GafasVR,B,Fallo,C,Fallo,D,Acierto,D,Fallo,D,Acierto,C,Acierto,B,Fallo,C,,C,Acierto,C,Fallo,A,Fallo,B,Acierto,D,Acierto,B,Acierto,"r1 manda la trama por eth1 hasta el hub donde ese paquete lo recibirá pc3, r2 y r3. Ya ahi la trama será enviada a pc4 desde r2 y r3 donde quedaran guardadas en la tabla de direcciones de r2 y r3 la direccion de pc4. En pc4 se guardará en la tabla de encaminamiento las direcciones de r2 y r3 para usar como gateaway para enviar a pc1 la trama de vuelta.","Las gafas me han ayudado mucho a entender como funciona el envío de tramas y el funcionamiento de los routers. Me han ayudado a concentrarme más ya que al verlo en realidad virtual mantuve mas atencion a todo. Si he respondido cosas mal al test es por mi bajo nivel en esta asignatura, pero las gafas me han ayudado muchisimo al menos para comprender mejor la asignatura.",
10/25/2022 14:28:45,ROB,12,9.23,7.43,4,4,4,3,4,3,4,GafasVR,C,Acierto,B,Acierto,D,Acierto,A,Acierto,C,Fallo,C,Acierto,D,Acierto,A,,C,Acierto,D,Acierto,B,Acierto,B,Acierto,D,Acierto,B,Acierto,"1. Procesa la trama Ethernet
2. Extrae la dirección IP del mensaje dirigido a pc4. IP:102.0.0.40
3. Selecciona el gateway correspondiente a esa IP en la tabla de routing. Gateway: 101.0.0.3
4. Selecciona la dirección Ethernet en la caché ARP para el gateway. Eth: 00:1c:42:00:00:03
5. Crea la cabezera Ethernet con la trama IP original para la dirección Ethernet anterior
6. Reenvía el mensaje  ","Si, porque me ha ayudado a ver con más claridad la rute que toman los mensajes.",
10/25/2022 14:28:57,ROB,11,8.46,5.71,3,3,3,2,3,2,4,GafasVR,C,Acierto,B,Acierto,D,Acierto,A,Acierto,C,Fallo,C,Acierto,D,Acierto,A,,C,Acierto,B,Fallo,B,Acierto,B,Acierto,D,Acierto,B,Acierto,"Primero r1 procesa la trama para conseguir la dirección de la máquina a la que esta dirigida la trama. Despues envia un request hacia eth1 para buscar la red que conecta con la ip que se pide, para ello envía el ARP con su direccion ethernet. Cuando recibe respuesta de r3 la procesa, resta 1 al TTL y reenvia toda la trama hacia el router correspondiente.","Si, pues al poder pausarla y volver a empezar, puedes ver más claro como se comportan los distintos elementos y que y como procesan los distintos protocolos.",
10/25/2022 14:29:02,ROB,7,5.38,2.00,1,1,1,1,1,1,1,GafasVR,A,Fallo,C,Fallo,D,Acierto,A,Acierto,D,Acierto,C,Acierto,A,Fallo,C,,A,Fallo,A,Fallo,B,Acierto,B,Acierto,A,Fallo,B,Acierto,"Prepara el Echo Request, lo envuelve con el protocolo ethernet (usando los valores traidos por el protocolo ARP), a esto lo envuelve con el protocolo IP Y lo envía por eth0","La animación necesitaría un control para poder pasar a ver el evento previo y el posterior, para no tener que volver a ver la animación entera si te ha quedado una duda en una parte que está a la mitad.",
10/25/2022 14:30:29,ROB,9,6.92,7.43,3,3,4,4,5,3,4,GafasVR,C,Acierto,B,Acierto,D,Acierto,B,Fallo,D,Acierto,B,Fallo,D,Acierto,A,,C,Acierto,C,Fallo,B,Acierto,B,Acierto,D,Acierto,A,Fallo,"Al tener el datagrama entero, empezaría con la cabecera ethernet y luego en la ip vería que no es para él el mensaje, por tanto consultaría en su tabla de routing para ver como mandar el paquete a pc4 y ve que tiene que enviarlo por la dirección ip de r3, pero al no tener la direccion ethernet de este, le preguntaría con ARP y tras la respuesta de la dirección ethernet de r3 se lo enviaría. 
La vuelta, como la realiza r2 le preguntaria su dirección ethernet y este guardaría la dirección ethernet de r2 en el cache de ARP (junto a las demás). Enviaría su direccion ethernet y le llegaría el paquete de vuelta para pc1 y este como ya tiene su dirección guardada en la cache de pc1, no necesita realizar ninguna pregunta y le enviaría el paquete a pc1","Con las gafas se ve mejor como se envia el mensaje, que se para por no tener la dirección ethernet y los cambios que se producen en algunos lugares como la cache.",
10/25/2022 14:30:45,ROB,6,4.62,6.86,4,4,3,3,3,3,4,Diapositivas,A,Fallo,B,Acierto,D,Acierto,A,Acierto,D,Acierto,C,Acierto,B,Fallo,A,,A,Fallo,C,Fallo,D,Fallo,A,Fallo,D,Acierto,A,Fallo,"Primero mira la dirección destino de Ethernet, como ve que es su direión, lo procesa y lo sube al nivel de arriba, este comprueba que en realidad el datagrama IP va dirigido a pc4. Antes de descartarlo, ""pregunta"" si es un router. Al ser un router, lo tiene que volver a enviar, pero antes de todo disminuye su TTL en uno (se queda con 63), luego mira la tabla de encaminamiento para ver si tiene ruta directa con su destino. Al ver que si la tiene, crea un nuevo paquete con la cabecera ARP, luego con la Ethernet con la dirección de destino (que será r2 o r3). Se envía, y recibe una contestación con su dirección ethernet. El router añade la dirección Ethernet al paquete anterior y lo manda. Posteriormente, este contesta con el protocolo IP, el routervuelve a procesarlo, vee que no es para él pero al ser un router lo vueve a mandar mirando antes la tabla de encaminamiento y lo manda a pc1.",,"Si, sobretodo a la hora de ordenar las cabeceras y de cómo se van creando. Además de distinguir las tablas bien y cuándo mira cada una."
10/25/2022 14:31:50,ROB,8,6.15,5.43,3,3,2,2,3,3,3,GafasVR,A,Fallo,B,Acierto,D,Acierto,B,Fallo,D,Acierto,C,Acierto,A,Fallo,B,,C,Acierto,A,Fallo,B,Acierto,B,Acierto,A,Fallo,B,Acierto,"En primer lugar, r1 envía una solicitud ARP preguntando por la dirección ethernet. Tras recibir la respuesta, r1 modifica su memoria caché. Posteriormente, r1 lo reenvía.","Personalmente, pienso que la animación 3D ayuda a que el aprendizaje sea más fluido. Eso sí, la implementación de las gafas no creo que sea de mucha utilidad.",
10/25/2022 14:32:42,ROB,7,5.38,6.00,3,3,3,2,3,3,4,Animacion3D,C,Acierto,B,Acierto,C,Fallo,A,Acierto,C,Fallo,C,Acierto,B,Fallo,A,,D,Fallo,D,Acierto,B,Acierto,A,Fallo,A,Fallo,B,Acierto,"R1, analiza el protocolo ethernet y al no saber la dirección de red de pc4, deja el datagrama IP en espera y envía una solicitud ARP por eth1 a la IP de pc4. Pc4 responde, y r1 ya conoce la dirección de red de pc4, entonces añade al datagrama ip el protocolo ethernet y lo envia por eth1.",Me ha ayudado mucho la animación para entender lo que ocurre. Lo que me ha confundido un poco es que a veces se solapaban los mensajes y las tablas de direcciones.,
10/25/2022 14:33:01,ROB,10,7.69,6.86,3,3,4,2,4,4,4,Animacion3D,C,Acierto,B,Acierto,D,Acierto,A,Acierto,C,Fallo,B,Fallo,C,Fallo,A,,C,Acierto,D,Acierto,B,Acierto,B,Acierto,D,Acierto,B,Acierto,"r1 comprueba que la dirección destino de la trama no es la suya, y después comprueba que es un router. r1 consulta su tabla de encaminamiento y ve que la red 102.0.0.0 tiene como gateway la dirección IP de r3, así que envía una solicitud ARP de broadcast solicitando la dirección ethernet de R3. Cuando recibe la respuesta de r3, la procesa y añade la dirección Ethernet de r3 a su caché ARP, reduce en 1 el campo TTL de la trama y la reenvía a r3.","Creo que la animacón me ha ayudado a responder a las preguntas. Los bloques de colores para representar los distintos protocolos han sido bastante útiles y claros. Las actualizaciones a las cachés ARP y la representaciones de las tablas de encaminamiento, aunque correctas y específicas, eran más confusas.",
10/25/2022 14:34:24,ROB,11,8.46,6.29,4,4,4,1,2,3,4,Diapositivas,C,Acierto,B,Acierto,D,Acierto,A,Acierto,D,Acierto,C,Acierto,B,Fallo,A,,D,Fallo,D,Acierto,B,Acierto,B,Acierto,D,Acierto,B,Acierto,"Primero va a mirar en su routing table cual es el gateway a pc4, cuando lo descubre, envía un mensaje broadcast para averiguar donde está 101.0.0.3(r3),que es el gateway. Cuando recibe una respuesta de r3 confirmándole su localización, guarda su dirección en el caché ARP y prepara el mensaje que enviar hacia pc4, restandole un al valor TTL.",,"Creo que sí habría podido mejorar mis respuestas, pues aunque en las diapositivas se explica todo bien, al final se te hace muy aburrido estar mirándolas y estudiándolas, preferiría verlo en un video o animación, en las que todo estando animado te aburre mucho menos y te hace prestar más atención."
10/25/2022 14:34:51,ROB,4,3.08,4.29,2,,3,2,4,2,2,Animacion3D,A,Fallo,B,Acierto,D,Acierto,D,Fallo,C,Fallo,C,Acierto,A,Fallo,A,,A,Fallo,A,Fallo,B,Acierto,A,Fallo,A,Fallo,A,Fallo,"a r1 le llega el mensaje con lainformacion ip y ethernet y arp de pc1, el comprueba que es un router, luego mira quien lo ha enviado y para quien va y lo envia. Luego cuando le llegua para enviarlo de nuevo repite el mismo proceso","La he visto en el ordenador, y a mi parecer entiendo mas la explicacion ya que es mas animada y puedes controlar el tiempo y la rapidez con la que aprendes",
10/25/2022 14:35:47,ROB,10,7.69,7.14,4,4,3,3,3,4,4,Animacion3D,C,Acierto,B,Acierto,D,Acierto,A,Acierto,D,Acierto,C,Acierto,D,Acierto,A,,D,Fallo,B,Fallo,B,Acierto,B,Acierto,A,Fallo,B,Acierto,"Primero lo que sucede es que procesa la cabecera Ethernet pero cuando va a procesar la IP se da cuenta que no es su IP y busca en la routing table y ahi con el gateway envia un mensaje de solicitud ARP con direccion destino broadcast porque no tiene esa direccion en el cache. Luego cuando recibe la respuesta de ARP, agrega esa informacion a su cache de ARP y recien ahi puede enviar la trama a r3.",Yo vi la animación 3D en el ordenador. Un aspecto que ayuda es ver el flujo de las tramas y como se envia a cada maquina. Me resulta confuso que la animación va muy rapido y no tiene señalado (recuadrado) las IP o routing table como tienen las diapositivas que eso ayuda a enfocarse. Siendo las IP y direcciones Ethernet parecidas a veces te mezcla. ,
10/25/2022 14:35:52,ROB,8,6.15,6.57,3,3,3,3,4,3,4,Animacion3D,C,Acierto,B,Acierto,D,Acierto,A,Acierto,D,Acierto,D,Fallo,D,Acierto,A,,A,Fallo,A,Fallo,B,Acierto,A,Fallo,D,Acierto,A,Fallo,"cuando r1 recibe el mensaje mira su tabla de routing y mira porque ruta debería ir en este caso sería por r3. Tras esto envia una solicitud de ARP para ver donde se encuentra r3 con destino broadcast. Esta solicitud la reciben y la procesan todas las maquinas conectadas a r1 por eth1, un vez procesada r3 que es el destinatario responderá y las demas máquinas descartaran la solicitud. La respuesta la rcibe r1 que ya sabe la dirección ethernet de r3 y la pondrá como destino. El paquete llegará a r3 y este mirará su tabla de routing de nuevo y volverá a enviar una solicitud de ARP, r2 la descartará y pc4 la cogerá y responderá. Con la respuesta de ARP de pc4 r3 pondrá como dirección de destino ethernet la dirección de pc4 y finalmente el paquete llegará a pc4. Tras esto este responderá a pc1","Sí, la animación muestra detalladamente los paquetes, las cabeceras, que hacen, como se mueven. Todo esto paso a paso. Visualizar como se ejecutan los comandos que ejecutamos en la terminal ayuda a visualizar y entender de mejor forma lo que ocurre en la red y como interactuan las maquinas entre ellas.",
10/25/2022 14:36:10,ROB,12,9.23,8.86,4,4,4,5,5,4,5,Animacion3D,C,Acierto,B,Acierto,D,Acierto,A,Acierto,D,Acierto,C,Acierto,D,Acierto,B,,D,Fallo,D,Acierto,B,Acierto,B,Acierto,D,Acierto,B,Acierto,"Primero procesa la cabezera ethernet, como la dirección ethernet es correcta, procesa la cabecera IP y al comprobar los gateways deduce que tiene que enviar el datagrama a 101.0.0.3 (pc). procede a componer una nueva cabecera ethernet, pero como en su caché ARP no tiene la direción ethernet de pc3, envía en broadcast una solicitud de ARP. Después recibe la respuesta ARP de r3 y guarda su dirección ethernet en el caché. Teniendo la dirección ethernet asociada a 101.0.0.3, envía el datagrama IP a esta dirección.","No estoy seguro, se pueden ver los procesos con una representación más visual, pero para poder ver los datos el que no exista la opción de volver a atrás y que a veces los carteles, objetos y líneas se superpongan, complican esta tarea.",
10/25/2022 14:37:08,ROB,10,7.69,8.00,4,4,4,3,4,4,5,Diapositivas,C,Acierto,B,Acierto,D,Acierto,C,Fallo,D,Acierto,C,Acierto,C,Fallo,D,,C,Acierto,D,Acierto,A,Fallo,B,Acierto,D,Acierto,B,Acierto,"r1 recibe desde pc1 la IP con destino pc4. Guarda su direción ethernet y después de eso, debido a su tabla de encaminamiento, sabe que debe enviar la trama a una máquina con IP: 101.0.0.3 ",,Probablemente hubiese podido responder de forma más rápida al haberlo visualizado de otra forma y no tener que imaginarlo
10/25/2022 14:38:19,ROB,11,8.46,5.43,3,3,3,3,3,1,3,Animacion3D,C,Acierto,B,Acierto,D,Acierto,A,Acierto,C,Fallo,C,Acierto,D,Acierto,A,,A,Fallo,D,Acierto,B,Acierto,B,Acierto,D,Acierto,B,Acierto,"Comprueba con cual de sus rutas tiene más correspondecia la dirección IP del datagrama que le llega. Una vez comprueba eso decide la ruta por la que enviará el datagrama, que en este caso sería por su interfaz eth1 directamente a r3.",Pues me ha ayudado a ver mejor paso a paso quién procesa que y a donde van los paquete. Si se pudiera apoyar mediante la explicación del profesor creo que sería la herramienta definitiva para entender que es lo que va pasando en cada interacción.,
10/25/2022 14:38:22,ROB,13,10.00,8.29,4,4,3,5,5,4,4,Animacion3D,C,Acierto,B,Acierto,D,Acierto,A,Acierto,D,Acierto,C,Acierto,D,Acierto,A,,C,Acierto,D,Acierto,B,Acierto,B,Acierto,D,Acierto,B,Acierto,"r1 se pregunta si es un router, luego comprueba el CRC y posteriormente comprueba a tabla de routing donde ve que para las direcciones 102.0.0.0 es por eth1 y gateway eth0 de r3, como no sabe la dirección ethernet de la IP 101.0.0.3(eth0 de r3) aparca el datagrama y genera un ARP preguntando por la dirección Ethernet de la dir. IP de 101.0.0.3 que manda en broadcast por la interfaz eht1 de r1.
Todos las máquinas de esa interfaz reciben y inspeccionan el ARP ya que en la trama Ethernet la dir. destino es broadcast y cuando abren la cabercera ARP ven que se pregunta por la dirección de r3, por lo tanto r3 guarda en su cache la dir. Ethernet de r1 y responde con su dir.Ethernet.
Cuando r1 recibe la respuesta del protocolo ARP, manda el mensaje a r3.",Si,
10/25/2022 14:39:09,ROB,9,6.92,8.57,4,4,4,4,5,5,4,Diapositivas,C,Acierto,B,Acierto,C,Fallo,A,Acierto,C,Fallo,C,Acierto,D,Acierto,D,,C,Acierto,B,Fallo,B,Acierto,A,Fallo,D,Acierto,B,Acierto,"r1 envía por eth1 un datagrama compuesto por una cabecera arp y ethernet. Arp con el destino ip de r3, pero, como desconoce la dirección ethernet, la cabecera ethernet tiene dirección broadcast. Recibe la respuesta de r3, guardando su dirección ethernet en su tabla de enroutamiento, entonces toma esta dirección para incluirla en la cabecera ethernet que incluye r1 en la trama que le ha enviado pc1 y lo envía.",,"Creo que sí, ya que he dudado y creo que podría haberme quedado más claro al ver la animación."
10/25/2022 14:41:17,ROB,8,6.15,7.43,4,4,4,4,3,3,4,GafasVR,C,Acierto,B,Acierto,D,Acierto,C,Fallo,D,Acierto,D,Fallo,A,Fallo,A,,C,Acierto,C,Fallo,B,Acierto,A,Fallo,D,Acierto,B,Acierto,"R1 procesaría la cabecera ethernet vería que la dirección ethernet coincide con la suya, pasaría a procesar la cabecera IP en la que encontraria la dirección de pc4, al tener la direccion de destino coincidente con la subred de pc4  enviara una trama ICMP para conocer la dirección IP a la que debe dirigir la trama, una vez conocida la dirección IP que le lleve a conectar con PC Preguntaria por la dirección hardware a la que debe mandar dicho mensaje con una trama ARP consiguiendo la dirección de r3 y finalmente elaboraría la cabecera ethernet para el paquete original con la direccion del router 3 y reenviaría el paquete a dicho router.",considero que al tratarse de un metodo interactivo tiendes a prestar mas atención a los paquetes y a comprender todas los paquetes que tienen que mandar las diferentes maquinas para aprender los diferentes tipos de direcciones de el resto de maquinas.,
10/25/2022 14:43:01,ROB,6,4.62,4.86,2,3,2,2,3,3,2,Diapositivas,A,Fallo,B,Acierto,D,Acierto,C,Fallo,,Fallo,C,Acierto,A,Fallo,A,,D,Fallo,D,Acierto,B,Acierto,D,Fallo,,Fallo,B,Acierto,"Cuando recibe la dirección IP destino de los paquetes que quiere mandar pc1, busca en su tabla de encaminamiento IP si tiene alguna ruta posible para llegar hasta ahí. Cuando las valora, manda las cabeceras ARP y Ethernet al router por el que tiene que pasar la trama, esperando a que este le responda. Una vez le ha respondido, guarda su dirección Ethernet en el caché ARP y le reenvía la trama Ethernet con el datagrama IP de pc1.",,"En el caso de haber visto la animación 3D, segurtamente podría haber respondido mejor a las preguntas, ya que aprender de forma interactiva (como puede ser moverse por el escenario, en el caso de la animación 3D) es siempre más llamativo y atractivo, lo que hace que se preste más atención a lo que se está viendo y genere más curiosidad. Además, es más complicado saltarse algún paso de la explicación, ya que el ritmo lo marcas tú y lo puedes repetir tantas veces como quieras, mientras que con las diapositivas el ritmo lo marca el profesor y volver hacia atrás en la presentación para consultar algún aspecto significa perder el hilo de la explicación."
10/25/2022 14:43:40,ROB,10,7.69,9.14,5,5,4,5,4,4,5,Diapositivas,C,Acierto,B,Acierto,D,Acierto,B,Fallo,D,Acierto,C,Acierto,B,Fallo,D,,B,Fallo,D,Acierto,B,Acierto,B,Acierto,D,Acierto,B,Acierto,"Asumiendo que en este punto pc1 ya tiene en su caché ARP a r1 (El primer paso sería: Recibe la solicitud de ARP de pc1. Responde a esta solicitud.)
1. Recibe el datagrama IP. Comprueba que no es el destinatario final y al confirmar que es un router, decide reenviarlo. También guarda a pc1 en su caché ARP.
2. Consulta la tabla de enrutamiento y encuentra una coincidencia en eth1, y se extrae que debe reenviar esa trama por el gateway (r3)
3. r1 no tiene en su caché ARP a r3, por lo que inicia la solicitud ARP y espera su respuesta.
4. Cuando ya tiene la dirección ethernet de r3, completa el datagrama IP anterior (Antes, le resta 1 al TTL) con la cabecera ethernet correspondiente y envía la trama por eth1.´
5. Recibe una solicitud ARP de r2 por eth1, y la responde. Guarda en su caché ARP a r2.
6. Recibe un datagrama con destino a pc1. Encuentra una coincidencia en su tabla de enrutamiento en eth0 y se extrae que el destino es adyacente ya que el gateway para esa red es 0.0.0.0.
7. Comprueba que en su caché ARP ya está pc1. (Se obtuvo en el paso 1)
8. Le resta uno al TTL del datagrama IP recibido, completa la cabecera ethernet y envía la trama por eth0.",,"Sí, porque podría haber analizado la caché ARP de algunas máquinas que en principio no están involucradas en el ping. También habría podido ver en qué momentos se usa la dirección de broadcast más rápidamente. Respecto a estos dos temas he tenido dudas."
10/25/2022 14:43:56,ROB,12,9.23,6.29,3,3,3,3,4,3,3,GafasVR,C,Acierto,B,Acierto,D,Acierto,A,Acierto,D,Acierto,C,Acierto,D,Acierto,A,,C,Acierto,B,Fallo,B,Acierto,B,Acierto,D,Acierto,B,Acierto,"Primero tras r1 recibir la trama la proccesa, es decir, ve que va dirijida a la Ethernet de su puerto eth1 , despues pasa a ver si la IP coincide . Como ve que no incide la Ip se pregunta si es un ruter , al obtener respuesta de que si entonces empieza a buscar en su tabla de ruting la direccion IP o una parecida. Al ver que no tiene la exacta se va a por la parecida que en este caso le deja con que le tiene que enviar la informacion a la direccion de IP de r3 , pero r1 tras intentar ensamblar todo ve que no tiene la direcion de Ethernet de r3 asi que sube este mensaje y lo deja guardado. Posteriormente envia con broadcast un mensaje de ARP para pedirla . Tras recibirla ensambla en mensaje con dicha direción y se la envia a r3.",Se puede ver las cosas mas directamente y se puede pausar por lo que creo que me ha ayudado a visualizar mas las cosas. Pero no creo que hubiese sido tan eficaz sin la explicación previa por el profesor.,
10/25/2022 14:43:56,ROB,11,8.46,8.00,4,4,4,4,4,4,4,Diapositivas,C,Acierto,B,Acierto,D,Acierto,A,Acierto,D,Acierto,C,Acierto,B,Fallo,A,,C,Acierto,B,Fallo,B,Acierto,B,Acierto,D,Acierto,B,Acierto,"Cuando r1 recibe el datagrama IP del pc1, ya va a tener almacenada en su caché de ARP la dirección Ethernet del pc1.

Al procesar el datagrama IP ve que la dirección de destino no es la suya, por lo que pasa a revisar su tabla de routing y ve que el pc4 no es adyacente a el. Debido a esto, r1 genera un protocolo ARP con destino, en su protocolo Ethernet, al getaway que le marca su tabla de routing para el destino 102.0.0.0. 

Con este protocolo ARP hace un request de la dirección IP perteneciente al r3. El r3 almacena la dirección IP del r1 en su caché de ARP y genera un ARP de respuesta, con dirección Etehrnet del pc1, que recibirá el r1. 

Este almacenará la dirección IP del r3 en su caché de ARP y procederá a enviar el datagrama IP al r3 para que este se encargue de pasárlo a la siguiente máquina.",,"Desde mi punto de vista creo con la animación 3D se puede entender mejor gracias a que puedes hacer una visualización espacial en tiempo real de lo que pasa. Aún asi, considero que la diferencia no sería tan grande."
10/25/2022 14:44:09,ROB,13,10.00,8.86,4,4,5,5,5,4,4,Diapositivas,C,Acierto,B,Acierto,D,Acierto,A,Acierto,D,Acierto,C,Acierto,D,Acierto,A,,C,Acierto,D,Acierto,B,Acierto,B,Acierto,D,Acierto,B,Acierto,"Una vez que r1 recibe la trama ICMP, primero procesará la dirección Ethernet de Destino.
Esta dirección habra sido enviada desde pc1 como ""00:1c:42:00:00:01"", es decir, la dirección eth0 de r1. 

Como la dirección de ethernet pertenece a r1, entonces ahora pasará a revisar la dirección de destino del datagrama IP. Aquí aparecerá la dirección ""102.0.0.40"" que no coincide con la dirección ip de r1.

Ahora r1 comprobara en su configuración si es un router,

Si r1 es un router (que lo es) entonces procederá a mirar su tabla de enrutamiento para hallar el puerto de salida correspondiente. Para ello primero comparará la dirección de destino IP con cada una de las opciones disponibles utilizando un AND comparacional.

El resultado de este proceso indicará el gateway ""101.0.0.3"" alojado en el puerto eth1 que apunta a r3.

Con el puerto seleccionado, r1 preparará un paquete IP con dirección ""102.0.0.40"" que contendrá el datagrama original.

Este paquete se encapsulará en el protocolo Ethernet. Aquí para asignar la dirección de destino, r1 mirará su cache ARP.

La caché ARP NO contiene la dirección ethernet de r3 por lo que r1 dejara en segundo plano el paquete que esta preparando.

Ahora r1 empezará a preparar un paquete ARP para preguntar en la red por la dirección ethernet de aquella maquina con dirección ip ""101.0.0.3"".

Una vez preparado el protocolo ARP, este se encapsulará en una trama Ethernet con destino a dirección de broadcast. Tras esto, la petición se enviará.

Instantes despues, r1 recibirá una trama respuesta de r3, por lo que comprobará que la dirección ethernet coincide con la suya en eth1 (""101.0.0.1"")

Si esta dirección coincide, revisará la respuesta ARP y guardará la dirección Ethernet de r3 en la ARP caché.

Ahora volverá al paquete en segundo plano y establecerá la dirección ethernet de destino mirando la cache ARP y asignado la correspondiente a r3.

Con el paquete ya preparado, enviará finalmente el datagrama ICMP.",,
10/25/2022 14:44:49,ROB,10,7.69,6.57,3,3,2,3,4,4,4,GafasVR,C,Acierto,B,Acierto,D,Acierto,B,Fallo,D,Acierto,C,Acierto,B,Fallo,A,,D,Fallo,D,Acierto,B,Acierto,B,Acierto,D,Acierto,B,Acierto,"pc1 mandara una trama, r1 mirara su tabla de routing y encajara con la tercera ruta y lo mandara por el gateway que es 101.0.0.3 que es la direccion IP del router 3(eth0), es verdad que r2 y pc3 tambien lo recibirán pero no lo procesaran dado que llevara como direccion la direccion de r3; r3 mirara su tabla de routing y encajara con la segunda ruto por lo que lo mandara por eth1 y lo recibirá pc4.pc4 ahora contestara por lo tanto mirará su tabla de routting que encajará con la ruta 2 por lo tanto lo mandara con la direccion destino de su gateway que es 102.0.0.2 que es la direccion IP de r2(eth1), r3 lo recibira pero no lo procesará; r2 mirara su tabla de routing y elegira como ruta la tercera asique se lo andara con direccion 101.0.0.1 que es ka direccion de r1 y r1 se lo enviará a pc1.","si que es mucho mas grafico y mucho mas animado, te obliga a atender y a prestar atencion.",
