Marca temporal,GRADO,ACIERTOS,NOTA,VALORA1,VALORA2,VALORA3,VALORA4,DEMO,P1,R_P1,P2,R_P2,P3,R_P3,P4,R_P4,P5,R_P5,P6,R_P6,P7,APRENDIZAJE1,APRENDIZAJE2
2022/12/20 11:36:16 a. m. CET,BIO,1,"1.67",3,3,3,3,Animacion3D,C,Fallo,A,Fallo,A,Fallo,A,Fallo,A,Acierto,A,Fallo,,,
2022/12/20 11:38:35 a. m. CET,BIO,3,"5.00",2,2,2,2,GafasVR,D,Acierto,A,Fallo,B,Acierto,C,Fallo,A,Acierto,B,Fallo,,"No me ha ayudado a contestar mejor las preguntas. Creo que no es un problema de la animación, si no que yo no habia mirado bien el temario.",
2022/12/20 11:39:19 a. m. CET,BIO,3,"5.00",,3,2,1,GafasVR,D,Acierto,C,Acierto,B,Acierto,A,Fallo,C,Fallo,A,Fallo,,Creo que esta parte se entiende mejor con un video con audio o directamente que la explique el profesor,
2022/12/20 11:43:11 a. m. CET,BIO,4,"6.67",2,2,2,2,Animacion3D,D,Acierto,C,Acierto,A,Fallo,A,Fallo,A,Acierto,D,Acierto,,,
2022/12/20 11:44:14 a. m. CET,BIO,3,"5.00",1,1,1,1,Animacion3D,C,Fallo,D,Fallo,A,Fallo,B,Acierto,A,Acierto,D,Acierto,,A mi parecer me he liado un poco más porque la animación iba demasiado rapido y no era muy visual.,
2022/12/20 11:45:01 a. m. CET,BIO,0,"0.00",1,1,1,1,GafasVR,C,Fallo,D,Fallo,C,Fallo,C,Fallo,C,Fallo,C,Fallo,,"Sí, debido a poder parar y observar cada secuencia con detalle.",
2022/12/20 11:46:15 a. m. CET,BIO,4,"6.67",1,1,1,1,Animacion3D,D,Acierto,C,Acierto,B,Acierto,C,Fallo,A,Acierto,B,Fallo,creo que en los dos primeros pasos y es en google.com y urjc.es,creo que si porque me ayuda verlo de una manera visual para entenderlo mejor,
2022/12/20 11:47:06 a. m. CET,BIO,4,"6.67",2,3,3,3,GafasVR,D,Acierto,A,Fallo,B,Acierto,C,Fallo,A,Acierto,D,Acierto,"En todos  los pasos se generan mensajes DNS. 
Son páginas distintas que se situan en direcciones IP distintas, que se tienen que consultar con los servidores DNS","Me ha ayudado a recordar los conceptos de DNS ya explicados en clase. 
Me resulta confuso que en la animación cada componente de la red no este conectado por líneas y me cuesta ver que esta conectado a qué.",
2022/12/20 11:50:13 a. m. CET,BIO,6,"10.00",3,3,3,3,Diapositivas,D,Acierto,C,Acierto,B,Acierto,B,Acierto,A,Acierto,D,Acierto,"En el paso 1 se realizan consultas DNS para enconytar la IP de google.com. Para ello se hace una consulta a DNS root, que da la IP del DNS com. Se pregunta al DNS com. que da la IP del servidor google.com. el cual ya dará la IP de google.com apareciendo en el navegador.

En el paso 2, se repite el proceso pero con la url urjc.es. Se hace una consulta recursiva al servidor ""local"" que en principio no sabe la respuesta sin suponemos que la caché está vacía. Hacemos ahora preguntas no recursivas. Primero preguntamos a DNS root, que da la IP del servidor .es. Preguntamos a DNS es. ahora que nos da la IP del DNS .urjc.es. Por último este DNS nos da laI Pde www.urjc.es que aparecerá en pantalla.",,"Podría haber ayudado a entender mejor el funcionamiento de las consultas no recursivas. Entender que cada vez que se pregunta a un DNS nuevo, la respuesta con la IP del nuevo servidor llega al servidor del cliente, y este debe preguntar de nuevo."
2022/12/20 11:50:56 a. m. CET,BIO,4,"6.67",3,3,3,3,Animacion3D,D,Acierto,A,Fallo,A,Fallo,B,Acierto,A,Acierto,D,Acierto,,Si,
2022/12/20 11:53:18 a. m. CET,BIO,6,"10.00",4,4,4,4,Diapositivas,D,Acierto,C,Acierto,B,Acierto,B,Acierto,A,Acierto,D,Acierto,"En el primer paso se quiere obtener la dirección IP de www.google.com. (Mismo ejemplo que las diapositivas). Primero pregunta a su servidor que le preguntará al dominio raíz. A continuación se pregunta a los dominios com y google.com. Este último sabe la dirección por la que se pregunta y se la envía al servidor. Por último el servidor se la devuelve a la máquina.
En el tercer paso ocurre exactamente lo mismo pero con la página nueva. (El servidor DNS le pregunta al dominio raíz, el dominio raíz pregunta a es que le responde con la dirección urjc.es que finalmente sabe la dirección deseada y se la envía al servidor).",,"Con las dipositivas se puede entender bien, ya que, se puede avanzar y retroceder cuando se necesite."
2022/12/20 11:53:20 a. m. CET,BIO,0,"0.00",4,3,2,2,Animacion3D,C,Fallo,,Fallo,,Fallo,A,Fallo,,Fallo,,Fallo,,,
2022/12/20 11:56:01 a. m. CET,BIO,1,"1.67",1,1,1,1,GafasVR,C,Fallo,B,Fallo,B,Acierto,C,Fallo,C,Fallo,B,Fallo,En el 2 paso se realizara para buscar la url de URJC. ,,"Con las gafas es todo mas visual y mas intuitivo que con unas diapositivas, por tanto yo creo que si"
2022/12/20 11:56:13 a. m. CET,BIO,5,"8.33",4,4,3,4,Diapositivas,D,Acierto,C,Acierto,A,Fallo,B,Acierto,A,Acierto,D,Acierto,"Cuando el usuario escribe en la URL de su navegador: www.google.com, este genera una petición DNS a su servidor DNS en este caso movistar. Este iniciará la búsqueda recursiva de la dirección introducida preguntando, primero al dominio raíz, después al servidor dns com. y finalmente al servidor dns google.com.

Este es el único momento donde se realizan consultas al DNS. ",,"La animación 3D me hubiera ayudado a estar más inmersa en la animación, al ser más interactiva que ver las diapositivas. Pero creo que hubiera respondido igual a las preguntas. "
2022/12/20 11:56:42 a. m. CET,BIO,1,"1.67",1,1,1,1,Diapositivas,D,Acierto,B,Fallo,A,Fallo,A,Fallo,,Fallo,,Fallo,,,Sí. La animación 3D me ayudaría a ver de manera más gráfica los contenidos del tema y a entenderlos mejor por ser más visual.
2022/12/20 11:56:47 a. m. CET,BIO,1,"1.67",1,1,1,1,Diapositivas,C,Fallo,A,Fallo,A,Fallo,A,Fallo,C,Fallo,D,Acierto,,,"Yo creo que sí. Este tipo de animaciones te ayudan a visualizar mejor cada paso en los procesos de DNS, teniendo en cuenta todos los mensajes de solicitud y respuesta."
2022/12/20 11:56:50 a. m. CET,BIO,3,"5.00",3,3,3,3,Animacion3D,D,Acierto,C,Acierto,A,Fallo,A,Fallo,C,Fallo,D,Acierto,"Los tres son casos de consultas DNS. En el primer caso, se pregunta por la dirección IP asociada a ese dominio, y en ell segundo y el tercero se sigue el path asociado a los dominios para llegar hasta la url deseada. El primer mensaje es de solicitus, la maquina origen es mi maquina, y la maquina destino es la asociada a la url.","No excesivamente, me gusta más el estudio a partir de las diapositivas, aunque es muy buen complemento para la visualización gráfica.",
2022/12/20 11:57:27 a. m. CET,BIO,4,"6.67",2,3,3,3,GafasVR,D,Acierto,D,Fallo,C,Fallo,B,Acierto,A,Acierto,D,Acierto,"En el primer caso se hará la consulta recursiva dns desde el ordenador del usuario al dominio raíz para llegar primero al dominio com, y después  google.com. Después, tras entrar en la página www.urjc.es; se realiza desde la red de la universidad una consulta recuriva dns para llegar al dominio es, y después a urjc.","Sí me ha ayudado, pero a veces no me daba tiempo a leer todos los niveles de cada máquina.",
2022/12/20 11:58:51 a. m. CET,BIO,4,"6.67",4,4,3,4,GafasVR,C,Fallo,A,Fallo,B,Acierto,B,Acierto,A,Acierto,D,Acierto,"En el primer paso el ordenador habrá mandado un mensaje de DNS preguntando por la máquina google.com en tipo recursivo hacia el dominio raíz. Este dominio le habrá indicado como alcanzar el dominio com., y a partir de él habrá encontrado la página que buscaba.
En el tercer paso se envía otra solicitud DNS de tipo recursivo a la misma máquina, que irá a preguntarle al dominio es. por la máquina urjc. ","La verdad es que no he notado gran diferencia respecto a ver la animación 3D en el ordenador, salvo que me ha resultado más difícil plantear mis dudas debido a que el profesor no podía ver la misma animación que yo estaba viendo y tampoco era sencillo señalar las cosas como sí lo es en la animación en el ordenador. A cambio la animación en general se siente más interactiva y es más fácil recordar las cosas porque en general te sientes más inmerso en ella. Y el hecho de ponerte las gafas ya rompe la monotonía habitual con la que se desarrollan estas clases, lo que también ayuda a que acabes recordando mejor las cosas.",
2022/12/20 12:00:54 p. m. CET,BIO,4,"6.67",3,3,2,2,GafasVR,C,Fallo,C,Acierto,B,Acierto,B,Acierto,C,Fallo,D,Acierto,"paso1: si 1; desde el ordenador de casa para la maquina destino www del dominio google.com.
paso2:no
paso3: si 2; desde www.google.com a www.urjc.com y de pc de casa a www.google.com",,
2022/12/20 12:01:31 p. m. CET,BIO,5,"8.33",3,3,3,2,Animacion3D,D,Acierto,C,Acierto,D,Fallo,B,Acierto,A,Acierto,D,Acierto,"En el primer paso, el ordenador del usuario enviará un mensaje DNS recursivo a su servidor DNS, este enviará mensajes DNS no recursivos para encontrar la IP de la máquina con la página que ha buscado el usuario. Primero al servidor DNS con dominio raíz, con la respuesta de este, enviará un mensaje DNS no recursivo al servidor DNS con dominio com. , con la IP que le envía como respuesta, le enviará otro mensaje DNS no recursivo al servidor DNS con dominio google.com. y finalmente este último le responderá con la IP de la máquina www.google.com. y el servidor DNS del ordenador del usuario le enviará la respuesta al ordenador del usuario.

En el tercer paso también se realizarán consultas DNS. El ordenador del usuario hará una consulta recursiva DNS a su servidor DNS, este servidor le enviará una consulta DNS no recursiva al servidor DNS de dominio raíz que le responderá con la IP del servidor de dominio es.. El servidor DNS del usuario le enviará entonces una consulta no recursiva al servidor de dominio  es. y este le responderá con la IP del servidor de dominio urjc.es. y finalmente cuando el servidor del usuario le envíe una consulta DNS no recursiva a este, le responderá con la IP de la máquina www.urjc.es. , que le enviará el servidor DNS del usuario a su ordenador como respuesta a esa consulta DNS recursiva inicial.","Me ha ayudado poder ver cómo viajan los mensajes de un ordenador a otro y el orden en el que se leen y se crean, sin embargo van un poco rápido y es un poco complicado pararlo en cada paso para pararse a leer cada abecera que se crea. Si se para bien cada vez que se crea una cabecera se endiende bastante bien ya que aparte se ven los mapas DNS que tiene cada máquina y cómo se emplea para enviar una respuesta a la consulta DNS.",
2022/12/20 12:01:43 p. m. CET,BIO,5,"8.33",3,3,3,3,GafasVR,D,Acierto,A,Fallo,B,Acierto,B,Acierto,A,Acierto,D,Acierto,"Se formará una pregunta de manera recursiva a mi servidor, y como seguramente no lo sepa. preguntará de manera no recursiva al dominio raíz. El dominio raíz responde diciendo que se pregunte a com., luego se pregunta a éste y éste no conoce dicha dirección pero sí la de google.com y éste último finalmente ofrece la dirección de www.google.com. 
Al pinchar en el enlace www.urjc.es: se pregunta al servidor DNS, que como está en la universidad, seguramente conozca la dirección de las máquinas de urjc.es",Creo que sería necesario que no fuera tan rápido para poder prestar atención a todo,
2022/12/20 12:02:50 p. m. CET,BIO,5,"8.33",3,4,3,4,Diapositivas,D,Acierto,C,Acierto,B,Acierto,B,Acierto,D,Fallo,D,Acierto,Se habrán realizado consultas de DNS para obtener la dirección IP del servidor www.google.com y otra consulta para obtener la dirección de www.urjc.es,,
2022/12/20 12:03:07 p. m. CET,BIO,5,"8.33",4,3,4,5,GafasVR,D,Acierto,C,Acierto,B,Acierto,A,Fallo,A,Acierto,D,Acierto,"En el primer paso, se utiliza el protocolo dns porque el usuario quiere conocer la IP de la máquina de google. Primero el pc del usuario realiza una solicitud no recursiva a un servidor de movistar. El servidor de movistar realiza una solicitud recursiva a un servidor dominio raíz, el cual le responde que no conoce la IP y que vaya a preguntar al servidor del dominio com. Después el servidor de movistar hace una solicitud recursiva a com, el cual le contesta que no conoce la IP y que pregunte al servidor de google.com.Google.com ya le responde con la IP.El servidor de movistar contesta con un mensaje dns al pc del usuacrio.
En el segundo paso hay intercambio de mensajes con la máquina de google.com (no se necesita dns).
En el tercer paso vuelve a haber dns, porque el usuario quiere conocer la IP de la máquina de urjc. En este caso es igual que el primero pero ahora se preguntan a los servidores net y urjc.","Me ayudo la animación para entender porque te permite ver lo que se ha estudiando de manera distinta, a la vez que iteractuas con ello. Lo que no me ha gustado es que los mensajes van muy rápido y a veces hay mensajes con mucha información y no sabes que es lo importante.",
2022/12/20 12:06:50 p. m. CET,BIO,5,"8.33",4,4,3,3,Animacion3D,D,Acierto,C,Acierto,C,Fallo,B,Acierto,A,Acierto,D,Acierto,"Se realizan consultas en los pasos 1 y 2. En el primero el ordenador del usuario envía a su servidor dns una consulta recursiva para conocer la dirección ip de la máquina asociada al nombre google.com, acto seguido, el servidor del usuario envía una consulta al servidor del dominio raiz (.) y este tras consultar en su mapa, envia la dirección ip asociada a el subdominio .com al servidor del usuario. Una vez recibido envia otra solicitud no recursiva a la máquina asociada al subdominio .com preguntando por google.com y éste servidor le proporciona la dirección IP de la máquina con nombre google.com al servidor dns del usuario y éste le proporciona al ordenador del usuario la dirección IP de google.com. Para el  tercer paso repite los mismos pasos, pero el servidor del dominio raiz proporciona al servidor del usuario la dirección IP del subdominio .es y cuando el servidor consulte a este último obtendrá la dirección IP asociada a la máquina urjc.es, que entregará a la máquina del usuario.",,
2022/12/20 12:09:06 p. m. CET,BIO,5,"8.33",2,2,2,3,Animacion3D,D,Acierto,C,Acierto,B,Acierto,A,Fallo,A,Acierto,D,Acierto,,"Sí, para ver hacia que servidor se mandan las solicitudes de DNS y que pasa cuando las cachés de DNS están vacias y cuando no",
2022/12/20 12:11:30 p. m. CET,BIO,5,"8.33",3,3,3,4,Diapositivas,D,Acierto,C,Acierto,D,Fallo,B,Acierto,A,Acierto,D,Acierto,"1. En este paso, el ordenador hace una consulta recursiva a su servidor (el de Movistar) preguntando por la dirección Ip de www.google.com. A menos que este servidor tenga esa dirección en su caché, hará una consusta no recursiva al servidor del dominio raíz. Este contestará con la dirección IP del servidor .com, donde tiene delegadas los nombres que terminan en com. Con esta información, el servidor de Movistar hará una consulta no recursiva al servidor .com, que responderá con la dirección IP del servidor en el que tiene delegados todas las direcciones cuyo nombre acaba en .com (este servidor es el de google.com). Finalmente, con esta información, el servidor de Movistar volverá a hacer una consulta no recursiva al servidor google.com, que sí que debería tener la dirección IP de www.google.com, por lo que contestará con esta.
Por último, el servidor de Movistar contestará con la dirección IP que ha conseguidor tras todas estas consultas que ha ido haciendo.

2. Cuando tu escribes una búsqueda, le estás preguntando a la máquina de google, que te mandará un conjunto de URLs de los que podrías obtener la información que estás pidiendo. Por tanto, aquí no se están realizando consultas DNS.

3. Si pinchas en la URL de www.urjc.es, se volverá a repetir el mismo procedimiento que en el 1º paso, pero esta vez preguntando a distintos servidores.
El usuario hace una consulta recursiva al servidor de Movistar preguntando por la IP de www.google.com
El servidor de Movistar preguntará al servidor del dominio raíz, que le responderá con la IP del servidor del dominio de .es
El servidor de Movistar preguntará al servidor .es, que le responderá con la dirección IP del servidor del dominio urjc.es
El servidor de Movistar preguntará al servidor urjc.es, que le responderá con la dirección IP de www.urjc.es (por la que estaba preguntando la máquina de nuestro usuario).
Esta información será enviada por tanto al usuario.",,"Es posible, ya que al principo se había olvidado que cuando se hace una consulta no recursiva desde el servidor que tiene contratado el usuario, se vuelve a esta y es desde aquí donde salen las distintas consultas (y no desde la del servidor del dominio raíz, luego del siguiente...)"
2022/12/20 12:37:44 p. m. CET,BIO,4,"6.67",3,2,3,2,Animacion3D,D,Acierto,C,Acierto,B,Acierto,D,Fallo,D,Fallo,D,Acierto,"Se generan mensajes DNS en todos los pasos
Primer paso: al pulsar enter, la máquina pregunta a su servidor si tiene lo que busca, en caso de que no lo tenga en su tabla, preguntará al servidor raíz y éste responderá que pregunte al servidor com. El servidor DNS preguntará a com que le dirá que pregunte a el servidor de google.com. Finalmente DNS preguntará al servidor de google.com el cual le dará la respuesta para que la lleve a mi pc (8 mensajes DNS)
Segundo paso: al buscar horarios de la URJC, mi pc pregunta a su servidor DNS que tiene guardado en su caché la información de a quién tiene que preguntar. Preguntará directamente al servidor de google.com que le responderá que sí tiene lo que busca. Finalmente llega la info a mi pc (4 mensajes DNS)
Tercer paso: www.urjc.es= al pulsar enter, la máquina pregunta a su servidor si tiene lo que busca, en caso de que no lo tenga en su tabla, preguntará al servidor raíz y éste responderá que pregunte al servidor .es. El servidor DNS preguntará a com que le dirá que pregunte a el servidor de urjc.es Finalmente DNS preguntará al servidor de urjc.es el cual le dará la respuesta para que la lleve a mi pc (8 mensajes DNS)
","Sí, porque la observación de la animación me ha ayudado a comprenderlo mejor ",
12/20/2022 13:47:38,ROB,5,"8.33",3,4,4,2,Animacion3D,D,Acierto,A,Fallo,B,Acierto,B,Acierto,A,Acierto,D,Acierto,"En primer lugar, se pregunta al raiz por .com. Luego, nos da la direccion y preguntamos por urjc.es al raiz que nos manda a .es y de hay a urjc.es y luego ya donde sea para los horarios",esta bien pero faltaria ver la cache,
12/20/2022 13:49:29,ROB,4,"6.67",2,2,2,2,GafasVR,D,Acierto,D,Fallo,B,Acierto,C,Fallo,A,Acierto,D,Acierto,"Primero se le pregunta a la raiz por .com. Cuando nos ha dado la direccion, preguntamos por urjc.es a el dominio raiz.",si porque todo es mas visual,
12/20/2022 13:49:36,ROB,5,"8.33",4,4,4,4,Diapositivas,D,Acierto,A,Fallo,B,Acierto,B,Acierto,A,Acierto,D,Acierto,"Se han realizado consultas al DNS en el 1 y 3 pasos, para saber la dirección Ip de las páginas webs deseadas.
En el 1 paso, el pc enviará una solicitud de DNS al servidor de Movistar con el flag de recursividad activado, y este dependiendo de si está en su caché la Ip de www.google.com, o no, responderá al pc con dicha Ip o pregúntará al servidor root, servidor com, servidor google.com y servidor www.google.com, para conseguir dicha Ip.
En el 3 paso, ocurrira de forma parecida, lo único que en vez de buscar la Ip de www.google.com, buscará la Ip de www.urjc.es",,Creo que podría haber respondido mejor a las preguntas correspondientes a la caché de DNS de los servidores
12/20/2022 13:49:51,ROB,4,"6.67",2,2,2,2,Diapositivas,D,Acierto,C,Acierto,A,Fallo,D,Fallo,A,Acierto,D,Acierto,Se habrá realizado consulta DNS en el primer paso ya que se habrá pedido respuesta al dominio '.com'. Y también se ha realizado consulta dns en el segundo paso ya que se habrá pedido respuesta del domininio '.es',,"Seguramene viendo tanto la animación 3D o la animación normal hubiera podido responder de mejor manera las preguntas con respuestas más claras y concisas, ya que viendo el DNS de una vista exterior podría apreciar de mejor manera su funcionamiento con los diferentes servidores y su comportamiento"
12/20/2022 13:50:00,ROB,4,"6.67",3,2,2,2,GafasVR,D,Acierto,A,Fallo,,Fallo,B,Acierto,A,Acierto,D,Acierto,En los pasos 1 y 3 se realizan consultas de DNS ya que se necesita saber la IP del servidor donde se alojan las páginas web que se piden. El primero sera recursivo y el segundo no recursivo. El primer mensaje tiene com origen la máquina del usuario y el segundo el servidor de google.com. El destino del primero es el servidor de google y el segundo el servidor que alberga la página de la URJC,"Si ya que los conocmientos previos a ver la animación eran limitados ya que no había repasodo el temario. Es de gran ayuda que se vean los nombres y tipos de mensajes que se envan. En la animación es posible que resulte confuso que haya tantas máquinas pero luego estas no se usen. Aunque la animación se puede pausar, en las maquinas más alejadas no se ven claros los mensajes y paquetes recibido y enviados y hay que acercarse bastante, pero la velocidad del usuarios es muy lenta, por lo que si no se ha pausado y el mensaje ya ha salido  a la siguiente máquina te lo puedes perder.",
12/20/2022 13:51:55,ROB,3,"5.00",3,3,2,3,Diapositivas,D,Acierto,C,Acierto,C,Fallo,A,Fallo,C,Fallo,D,Acierto,"En todos los pasos se han realizado consultas de dns, en el primer caso, una recursiva a root, en el resto son no recursivas ya que se hacen entre servidores, hasta que la máquina ""principal"" encuentre los dominios que busca.",,"A lo emjor si, porque el dns es un protocolo muy largo que simplemente ""de cabeza"" me resulta complicado de seguir"
12/20/2022 13:52:33,ROB,3,"5.00",4,4,2,2,Diapositivas,D,Acierto,A,Fallo,C,Fallo,A,Fallo,A,Acierto,D,Acierto,"See realizarán consultas al DNS en los pasos 1 y 3. En el primer caso el ordenador pregunta al servidor de movistar por www.google.com, entonces el servidor hará consultas al servidor raíz, al servidor .com y al servidor google.com el cual le devolverá la dirección Ip de www.google.com. En el segundo caso el ordenador pregunta al servidor de movistar por www.urjc.es, entonces el servidor hará consultas al servidor raíz, al servidor .es y al servidor urjc.es el cual le devolverá la dirección Ip de www.urjc.es. ",,"No estoy seguro porque todavía no conozco las respuestas correctas, pero considero que he respondido bien a las preguntas y el visualizar la animación 3D no habría marcado la diferencia. pero es posible que haya pasos en el proceso que no haya podido observar bien con las diapositivas."
12/20/2022 13:54:18,ROB,6,"10.00",2,3,2,2,GafasVR,D,Acierto,C,Acierto,B,Acierto,B,Acierto,A,Acierto,D,Acierto,"La primera consulta al DNS se hace en el primer paso, cuando el usuario busca 'www.google.com'. Ahí, su ordenador enviará una solicitud al servidor preguntando la IP de la página en modo recursivo, y el servidor la buscará en modo no recursivo (buscando el servidor com). Cuando la encuentra, se la envía al cliente, apareciendo la página de google en la pantalla.
La segunda consulta ocurre cuando se mete en el enlace 'www.urjc.es'. En este caso, ocurre lo mismo que en anterior.",Lo que más me ha ayudado es a entender los tipos en las respuestas y que hace el servidor cuando tiene en la caché información.,
12/20/2022 13:55:21,ROB,6,"10.00",2,2,2,2,GafasVR,D,Acierto,C,Acierto,B,Acierto,B,Acierto,A,Acierto,D,Acierto,"Al introducir la primera URL, se hace la primera consulta de DNS recursiva perguntando por dicha dirección. Hasta que aparece la página de google se habrán enviado DNSs no recursivos para encontrar la dirección IP del servidor de Google. Estos DNSs generarán DNSs de respuesta no recursivos también. Este proceso se dará hasta que el servidor del ordenador que estemos utilizando encuentre la dirección IP necesaria. Depués, al pinchar en el enlace se hace de nuevo el mismo proceso que en el anterior hasta encontrar la dirección IP del servidor de la página. ","A decir verdad, me ha ayudado ya que este tema aún no lo había mirado detalladamente por lo que no lo entendía bien.",
12/20/2022 13:55:26,ROB,6,"10.00",3,4,2,3,GafasVR,D,Acierto,C,Acierto,B,Acierto,B,Acierto,A,Acierto,D,Acierto,"En el primer paso se realizaran las siguientes consultas DNS:(considerando caches vacias)
pc preguntara a su servidor DNS  por la dirección www.google.com, este renviar de forma no recursivo la solicitud a su servidor raiz , este le devolvera la dirección del servidor .com 
y por tanto el sevidor preguntara por la dirección orginal al servidor .com quien responderá con la dirección de google.com y por último preguntará a dicha direccion por la la direccion original y este responderá con la ip final de la maquina correspondiete al nombre www.google.com 

En el segundo caso no se utilizaran mensajes DNS 

Y en el último caso para igual que en el primero sustituyendo el servidor google por el urjc y el .com por .es","Considero que es util para la observacion del campo de respuesta dde DNS para comprender los diferentes tipos de respuesta dentro del protocolo
",
12/20/2022 13:56:10,ROB,6,"10.00",1,1,2,1,Animacion3D,D,Acierto,C,Acierto,B,Acierto,B,Acierto,A,Acierto,D,Acierto,"en los pasos 1 y 3. Primero la máquina pregunta a su dns por la dirección IP del root (recursiva), se lo envía (recursiva), pide IP de google al root, se lo envía y ya contacta con el dns, envía la ip de .com y luego escribe a google.",,
12/20/2022 13:56:42,ROB,2,"3.33",2,2,2,2,Animacion3D,C,Fallo,B,Fallo,A,Fallo,A,Fallo,A,Acierto,D,Acierto,"Primero se enviareia un mensaje de DNS del ordenador al servidor de tu proveedor , despued al de root , posteriormente al pumto com y despued a goole .com y a tu servidor al fimal.","Bastnte , es mas facil de seguir.",
12/20/2022 13:57:49,ROB,6,"10.00",5,4,4,5,Animacion3D,D,Acierto,C,Acierto,B,Acierto,B,Acierto,A,Acierto,D,Acierto,"Primero se consulta por google al conectar don el servidor dns de root para obtener el com. Después con el com para obtener el de google y asi responder con la ip.  Después hará el mismo proceso con la url de la urjc (con el root, el ""es"" y el ""urjc"")","considero que en esta práctica, era mucho más cómodo y entendible  ver las diapositivas antes que la animación 3D.",
