Marca temporal,GRADO,ACIERTOS,NOTA,VALORA_MEDIA,VALORA1,VALORA2,VALORA3,DEMO,P1,R_P1,P2,R_P2,P3,R_P3,P4,R_P4,P5,APRENDIZAJE1,APRENDIZAJE2
3/15/2023 11:22:51,"ITT,IST,IT",1,2.50,8.00,4,3,5,GafasVR,B,Fallo,B,Fallo,C,Fallo,C,Acierto,para saber los problemas que hay en una ruta en la red ,Esta bien por que asi es mucho mas visual ,Al hacerlo de manera visual te ayuda a ver mejor como funcionan las redes 
3/15/2023 11:28:06,"ITT,IST,IT",0,0.00,6.67,3,3,4,Diapositivas,B,Fallo,B,Fallo,C,Fallo,D,Fallo,,,Si
3/15/2023 11:28:25,"ITT,IST,IT",0,0.00,6.67,3,3,4,Diapositivas,E,Fallo,B,Fallo,B,Fallo,D,Fallo,,,
3/15/2023 11:28:59,"ITT,IST,IT",1,2.50,8.00,4,4,4,Animacion3D,B,Fallo,B,Fallo,A,Fallo,C,Acierto,Sirve para conocer el numero de saltos y sitios por donde pasa la trama antes de llegar al destino,"Si, porque tenía la posibilidad de moverme por el espacio y ver las tramas y la composicion de las cabeceras",
3/15/2023 11:35:47,"ITT,IST,IT",0,0.00,7.33,3,3,5,Animacion3D,A,Fallo,B,Fallo,C,Fallo,D,Fallo,Aporta la información de la ruta que sigue un paquete para llegar a otra máquina dentro de la subred.,"El otro día también me tocó en el navegador, y ayuda mucho el ver visualmente la animación para aclarar la teoría.",
3/15/2023 11:35:58,"ITT,IST,IT",1,2.50,8.67,5,5,3,Diapositivas,B,Fallo,B,Fallo,C,Fallo,C,Acierto,"Traceroute sirve para conocer el encaminamiento por el que pasa un datagrama desde que sale de su origen hasta llegar asu destino. Para ello va enviando datagramas IP con TTL = 1, 2, 3...(de tres en tres, como norma general), de forma que cuando llega a un router y su TTL llega a 0, el router le envía un datagrama ICMP para indicar TTL excedida con su dirección IP por la que manda el datagrama (lo que nos ayuda a conocer que router es). Además, en caso de no poder responder al datagrama IP original (por no haber un ruta de encaminamiento destinada para ello) aparecerá *** en lugar de la dirección IP de nuestro router.",,"En este caso creo que si, ya que ver el movimiento de los paquetes y como se va aumentando el TTL...(etc) me hubiese resultado más gráfico y un poco menos confuso."
3/15/2023 11:36:11,"ITT,IST,IT",0,0.00,7.33,4,4,3,Animacion3D,D,Fallo,B,Fallo,C,Fallo,D,Fallo,Nos indica porque maquinas ha tenido que pasar con la finalidad de llegar a la dirección destino que le marcamos en el traceroute.,"Si, porque se ve mejor por donde viajan los mensajes ",
3/15/2023 11:36:27,"ITT,IST,IT",0,0.00,5.33,2,2,4,Diapositivas,B,Fallo,B,Fallo,C,Fallo,D,Fallo,Traceroute busca la ruta para llegar a la maquina que le indicamos mediante el envío de datagramas mediante las tablas de encaminamiento de las maquinas a las que consulta,no he visto la animación,Aunque las diapositivas son suficientemente claras creo que si habría ayudado ver la animación para entender el funcionamiento.
3/15/2023 11:38:56,"ITT,IST,IT",0,0.00,5.33,2,2,4,Animacion3D,D,Fallo,B,Fallo,C,Fallo,D,Fallo,El traceroute hace una aproximación de la ruta que siguen los datagramas desde el origen hasta su destino.,"Sigo opinando igual que en la última clase, me ayuda más hacer las prácticas que se nos mandan con netgui. Además de que visto desde el ordenador la animación, no se puede ver bien por donde van los datagramas que están detrás de los routers de delante.",
3/15/2023 11:39:19,"ITT,IST,IT",1,2.50,4.00,1,2,3,Diapositivas,D,Fallo,B,Fallo,A,Fallo,C,Acierto,,,
3/15/2023 11:41:42,"ITT,IST,IT",1,2.50,6.00,3,3,3,Diapositivas,D,Fallo,A,Acierto,C,Fallo,B,Fallo,Traceroute te da la ruta que siguen los mensajes y te muestra las direcciones de los routers o pc por los que pasa,,"Si, cuando la otra vez las use me ayudaron"
3/15/2023 11:41:59,"ITT,IST,IT",0,0.00,8.00,4,3,5,Diapositivas,E,Fallo,B,Fallo,A,Fallo,D,Fallo,"Este comando nos indica el recorrido de los datagramas ip cuando realizamos un ping desde un pc origen hasta un pc destino, además nos ayuda a configurar las tablas de encaminamiento de los routers correctamente para que el mensaje sepa ir y volver.",,no lo se 
3/15/2023 11:42:22,"ITT,IST,IT",0,0.00,7.33,4,3,4,Diapositivas,E,Fallo,B,Fallo,C,Fallo,D,Fallo,"Traceroute es un comando que sirve para poder ver la ruta que sigue un datagrama IP, es decir, al ejecutar traceroute podemos ver los routers por los que pasa el datagrama IP que sale de una máquina antes de llegar a otra a la que se le ha enviado ese datagrama.",,Yo creo que podría haber respondido mejor la pregunta número tres
3/15/2023 11:42:40,"ITT,IST,IT",0,0.00,8.67,4,4,5,Diapositivas,E,Fallo,B,Fallo,B,Fallo,D,Fallo,Sirve para saber por que rutas viajan los datagramas IP. ,,
3/15/2023 11:42:52,"ITT,IST,IT",0,0.00,3.33,1,1,3,GafasVR,B,Fallo,C,Fallo,C,Fallo,B,Fallo,,Me sirvió más la otra vez cuando vi la animación en el ordenador ya que con las gafas 3d es mucho más mareo,
3/15/2023 11:43:17,"ITT,IST,IT",0,0.00,6.00,3,2,4,Animacion3D,A,Fallo,D,Fallo,C,Fallo,D,Fallo,,"Es mucho mejor con la animación, las expliaciones visuales son mucho más comprensibles",
3/15/2023 11:43:28,"ITT,IST,IT",1,2.50,2.67,1,1,2,GafasVR,C,Acierto,B,Fallo,A,Fallo,D,Fallo,No se qué es,Bien,
3/15/2023 11:43:37,"ITT,IST,IT",0,0.00,2.00,1,1,1,GafasVR,D,Fallo,C,Fallo,C,Fallo,D,Fallo,,"no, considero que es mejor con el ordenador. Al fin y al cabo se visualiza de igual manera y no te mareas tanto.",
3/15/2023 11:44:02,"ITT,IST,IT",0,0.00,5.33,3,2,3,Animacion3D,B,Fallo,B,Fallo,C,Fallo,D,Fallo,"sirve para saber la ruta que hace si va por ejemplo de pc1 a pc2, te dirá por decirlo así un siguimiento de la ruta que ha seguido para llegar a su destino",Yo creo que si lo que más sirve es ver el camino que elige,
3/15/2023 11:47:00,"ITT,IST,IT",0,0.00,7.33,4,4,3,GafasVR,D,Fallo,B,Fallo,C,Fallo,D,Fallo,traceroute nos sirve para averiguar la ruta que tiene que hacer un paquete o unos paquetes hacia cualquier máquina .,,
3/15/2023 11:47:01,"ITT,IST,IT",1,2.50,4.67,3,2,2,Diapositivas,D,Fallo,C,Fallo,B,Fallo,C,Acierto,Muestra una aproximación del camino que toman los datagramas IP para llegar a su destino,,"No, ya que con el dibujo me bastaba"
3/15/2023 11:47:33,"ITT,IST,IT",1,2.50,6.00,3,3,3,Animacion3D,C,Acierto,C,Fallo,B,Fallo,D,Fallo,"Sirve para que te diga que ruta siguen los mensajes, y los pc o routers por los que pasan.",,"Si, me hubiera ayudado."
3/15/2023 11:47:59,"ITT,IST,IT",0,0.00,6.00,3,3,3,Animacion3D,D,Fallo,B,Fallo,C,Fallo,D,Fallo,Sirve para ver las redes por las que pasan los mensajes y para saber si algun cable se ha desconectado.,,Si porque lo puedes ver mejor y te metes mas en la dinamica
3/15/2023 11:48:24,"ITT,IST,IT",1,2.50,6.67,3,3,4,Animacion3D,D,Fallo,B,Fallo,C,Fallo,C,Acierto,"Traceroute nos muestra una tabla que nos indica la ruta que realiza una trama que se envía desde la máquina en la que ejecutas el comando hasta la máquina destino, poniendo * en caso que que en una de las máquinas o routers por los que pasa no venga definida concretamenta la dirección destino a la que va.",Sí me ha resultado útil aunque hubiese estado bien que incluyan el caso de los * en traceroute,
3/15/2023 11:48:25,"ITT,IST,IT",3,7.50,4.00,2,2,2,Diapositivas,C,Acierto,A,Acierto,C,Fallo,C,Acierto,Muestra una aproximación de la ruta que siguen los datagramas IP hasta un destino.,,No 
3/15/2023 11:50:08,"ITT,IST,IT",0,0.00,4.67,2,3,2,Animacion3D,B,Fallo,B,Fallo,C,Fallo,D,Fallo,para trazar y guiar rutas entre máquinas,,con esta ilustracion me ha servido para entenderlo
3/15/2023 11:50:17,"ITT,IST,IT",1,2.50,9.33,5,4,5,Animacion3D,D,Fallo,B,Fallo,D,Acierto,D,Fallo,"Traceroute sirve para hacerse una idea de cómo están configuradas las rutas en una red, siempre y cuando que el encaminador esté configurado para informar a la IP origen de los datagramas IP con un TTL demasiado bajo.","Sí, me ha ayudado visualizar la animación 3D, más incluso que con las gafas VR (creo que se debe a haber dedicado tanto tiempo a los videojuegos).
Para mí toda la animación 3D ha sido clara y concisa, pero si podría mejorar algo, sería la señalización de los cambios del TTL cuando un datagrama pasa por un enrutador ya que una vez tuve que reinicar la animacón porque me había perdido por exactamente eso (quiźas algo como un parpaedo del campo TTL y un ""-1"" (menos uno) al lado del TTL original podría hacer la diferencia).",
3/15/2023 11:50:18,"ITT,IST,IT",0,0.00,5.33,4,1,3,Animacion3D,B,Fallo,B,Fallo,C,Fallo,D,Fallo,Para indicar la ruta que sigue un mensaje desde una máquina específica a otra,"esta ilustracion ha sido intuitiva y me ha ayudado a entenderlo
",
3/15/2023 11:51:31,"ITT,IST,IT",0,0.00,8.00,4,4,4,GafasVR,A,Fallo,C,Fallo,C,Fallo,B,Fallo,El traceroute sirve para enviar mensajes de información o errores que pueden ocurrir durante el trayecto.,"Ninguno, todo correcto.",
3/15/2023 11:51:46,"ITT,IST,IT",0,0.00,6.00,3,3,3,Animacion3D,D,Fallo,B,Fallo,C,Fallo,D,Fallo,Sirve para ver por cuantas redes pasa un mensaje y también para diagnosticar el envío de mensajes ya sea por desconexión de un cable o router intermedio apagado.,Mucho mejor sin las gafas ya que puedes girar la cámara fácilmente y cliquear en los enrutadores. Pero igual sigue con el problena de que no se puede retroceder y algunas cosas no se resaltan bien.,
3/15/2023 11:52:51,"ITT,IST,IT",0,0.00,4.00,1,2,3,Animacion3D,B,Fallo,B,Fallo,C,Fallo,D,Fallo,Traza la ruta hacia el destino pasando por los routers y volviendo y guardando las direcciones cada vez que llega a uno.,si,
3/15/2023 11:54:16,"ITT,IST,IT",3,7.50,2.67,1,1,2,Animacion3D,D,Fallo,A,Acierto,D,Acierto,C,Acierto,Muestra la ruta que sigue los datagramas IP a su destino.,"Si, es posible.",La he visto.
3/15/2023 11:54:49,"ITT,IST,IT",0,0.00,6.00,3,3,3,Animacion3D,D,Fallo,B,Fallo,C,Fallo,D,Fallo,Para saber por los routers que va a pasar nuestro datagrama IP antes de llegar y así saber la ruta por la que va a seguir nuestro mensaje. ,Creo que con la animación en el navegador se ve mejor que con los gafas y sí que ayuda en la comprensión de los conceptos.,
3/15/2023 11:55:59,"ITT,IST,IT",1,2.50,7.33,4,3,4,GafasVR,C,Acierto,B,Fallo,C,Fallo,D,Fallo,"Básicamente sirbe para saber la distancia medida en encaminadores, que hay entre máquinas, mostrando en una tabla los lugares donde el mensaje es reenviado a la maquina origen debido a que se anula el TTL; y se reenvia otro nuevo datagrama IP con otra unidad mas en TTL; hasta llegar a la maquina destino con un TTL = 1. ",Si me ha ayudado debido a que puedo hacer un seguimiento paso a paso de el movimiento de los mensajes que intervienen en el comando traceroute,
3/15/2023 11:56:57,"ITT,IST,IT",2,5.00,8.67,4,4,5,Animacion3D,C,Acierto,A,Acierto,C,Fallo,D,Fallo,"traceroute permite ver por dónde viaja un mensaje de una máquina a otra de forma práctica.
Sin embargo, es necesario saber a qué routers pertenencen las direcciones IP intermedias porque los mensajes ICMP de TTL excedido son mandados por una interfaz de estos (routers) que no tiene por qué corresponder con el ""camino de ida"".","La animación 3d muestra el funcionamiento del comando traceroute de una forma sencilla y vistosa. Pienso que se ve mejor en el navegador que con las gafas ya que en VR los mensajes se mueven más rápido que ""la cámara"" . Además,en el navegador es posible observar toda la red de una sola vez. Las diapositivas aunque ,muy ilustrativas, no generan la misma atención en la gente. Dicho todo esto, considero que la mejor forma de comprender , al menos para mí, es hacer las prácticas.",
3/15/2023 11:58:01,"ITT,IST,IT",3,7.50,3.33,2,1,2,GafasVR,D,Fallo,A,Acierto,D,Acierto,C,Acierto,Muestra una aproximación de la ruta que siguen los datagramas a su destino.,Sin duda,La he visto
3/15/2023 12:00:01,"ITT,IST,IT",1,2.50,7.33,3,4,4,GafasVR,B,Fallo,B,Fallo,C,Fallo,C,Acierto,Envia paquetes UDP.,"Sí, ya que vas viendo paso a paso por donde se envía el paquete",
3/15/2023 12:00:39,"ITT,IST,IT",1,2.50,8.00,5,3,4,Animacion3D,C,Acierto,C,Fallo,C,Fallo,D,Fallo,consiste en averiguar los saltos que se dan hasta llegar a la direccion de destino ,"Ayuda porque es una manera interactiva de el funcionamiento traceroute, pero un botón para ir hacia atras en caso de perderte o  de avanzar rápido lo haría perfecto",Me facilitaría verlo cosa que hace la animación y lo hace por ello mas fácil de entender
3/15/2023 12:01:44,"ITT,IST,IT",2,5.00,10.00,5,5,5,GafasVR,D,Fallo,A,Acierto,D,Acierto,D,Fallo,El comando traceroute obtiene las direcciones IP de los routers por donde pasa un paquete hasta llegar al destino que le indicamos. Con esa información podemos hacernos una idea de la distancia en número de redes que hay hacia cierto destino.,"Considero que la animación 3D me ha ayudado a responder mejor las preguntas. En mi opinión, la mejor ventaja que tiene es la de poder parar y reanudar el tráfico, lo que me ha permitido analizar mejor los detalles de los paquetes en cada momento. En este caso, había una situación confusa. En el momento en el que el tercer router envía el mensaje ICMP a pc1, la dirección IP origen aparece antes del momento en el que revisa su tabla de enrutamiento, cuando deería poner primero la dirección IP destino, revisar su tabla de enrutamiento y ya poner la dirección IP origen según el resultado de la revisión.",
3/15/2023 12:03:32,"ITT,IST,IT",2,5.00,6.67,3,3,4,GafasVR,C,Acierto,A,Acierto,A,Fallo,D,Fallo,"la finalidad es ver el encaminamiento del mensaje. Al salir con TTL = 1, al llegar al primer router y restar 1 queda a cero, por lo tanto lo tira y manda un mensaje de vuelta, el siguiente sale con TTL 2 y así sucesivamente hasta conocer el encaminamiento.","está chulo, es una manera distinta de ver el mensaje y se entiende bastante bien",
3/15/2023 12:13:08,"ITT,IST,IT",2,5.00,9.33,5,5,4,GafasVR,C,Acierto,B,Fallo,A,Fallo,C,Acierto,El traceroute sirve para comprobar que rutas toma para alcanzar al destino seleccionado y los errores que ha generado tras intentar alcanzar su destino.,Se ve en vivo y despácio como se hace el procedimiento con más calma,
3/16/2023 11:32:55,ISAM,2,5.00,10.00,5,5,5,Diapositivas,C,Acierto,B,Fallo,D,Acierto,D,Fallo,La utilidad que tiene el comando traceroute es que le sirve a la máquina que lo envía para conocer las direcciones por las que pasan sus datagramas al ser enviados a una dirección concreta ,,"A lo mejor me habría ayudado, pero lo que más me sirvió fue la explicación del profesor en clase"
3/16/2023 11:38:35,ISAM,0,0.00,6.00,2,2,5,Diapositivas,B,Fallo,B,Fallo,B,Fallo,D,Fallo,para tener la información necesaria en un pc1 para comunicarse con otro para el que no tenga una ruta en la tabla de encaminamiento,,No sé si podría haber respondido mejor habiendo visualizado la animación porque no se ha dado el caso. Con las diapositivas más o menos me he podido aclarar (creo)
3/16/2023 11:38:50,ISAM,3,7.50,6.00,3,3,3,Diapositivas,C,Acierto,A,Acierto,C,Fallo,C,Acierto,"La utilidad que nos aporta es que a través de este comando, podemos observar por ejemplo, si queremos enviar un mensaje a pc2 con traceroute podriamos ir viendo cuantos TTL necesitariamos hasta que llegue.",,Si hubiera visto la animacion siento que hubiera podido entender todo mejor 
3/16/2023 11:39:51,ISAM,1,2.50,5.33,2,3,3,Animacion3D,B,Fallo,B,Fallo,D,Acierto,D,Fallo,traceroute se utiliza para la obtencion de direcciones IP de camino a una IP.,Si me ha ayudado,
3/16/2023 11:39:55,ISAM,1,2.50,6.00,4,2,3,Diapositivas,C,Acierto,C,Fallo,B,Fallo,D,Fallo,"Muestra una aproximación de la ruta que siguen los datagramas IP hasta un destino. El nodo origen envía paquetes con TTL 1, 2, 3...  El router que descarta el paquete envía al origen un ICMP tipo 11, código 0, lo que permite a la máquina que ejecuta el traceroute identificar la IP (y en su caso el nombre) de dicho router.",,"Podría haberlo visualizado de una forma mejor, pero con las transparencias he podido responder a las preguntas."
3/16/2023 11:41:18,ISAM,3,7.50,7.33,4,3,4,Diapositivas,C,Acierto,A,Acierto,B,Fallo,C,Acierto,Muestra una aproximación de la ruta que siguen los datagramas IP hasta un destino.,,Sí.
3/16/2023 11:43:30,ISAM,1,2.50,5.33,2,2,4,Diapositivas,C,Acierto,D,Fallo,C,Fallo,B,Fallo, El comando traceroute muestra una aproximación de la ruta que siguen los datagramas IP hasta un destino.,,"Sí, puesto que supongo que vería el tráfico de red al milímetro y tiempo real. :D"
3/16/2023 11:44:54,ISAM,0,0.00,4.67,2,2,3,Animacion3D,D,Fallo,B,Fallo,C,Fallo,D,Fallo,,"Sí, es muy visual.",
3/16/2023 11:46:23,ISAM,0,0.00,6.00,3,3,3,Animacion3D,B,Fallo,B,Fallo,C,Fallo,D,Fallo,"El comando traceroute funciona enviando primero un paquete ICMP con un TTL de 1 y aumenta el TTL en 1 en cada transmisión posterior, hasta que llega al destino final o hasta que se alcanza el TTL máximo.","Si, porque considere que me ha ayudado a responder mejor las preguntas anteriores el haber visualizado la animación 3D",
3/16/2023 11:46:40,ISAM,0,0.00,6.67,4,2,4,Animacion3D,D,Fallo,C,Fallo,B,Fallo,D,Fallo,traza una ruta,,
3/16/2023 11:47:20,ISAM,0,0.00,5.33,2,3,3,GafasVR,A,Fallo,C,Fallo,C,Fallo,D,Fallo,Traceroute es una herramienta utilizada para diagnosticar problemas en una ruta de red. Traceroute se utiliza para entender la ruta que siguen los paquetes IP desde un ordenador  de origen a otro,"Se ve muy bien, por lo menos a mi me ha ayudado a entenderlo mejor ",
3/16/2023 11:47:20,ISAM,4,10.00,4.00,2,2,2,Animacion3D,C,Acierto,A,Acierto,D,Acierto,C,Acierto,,"Si, ya que veo mejor representado todo lo que ocurre entre los ordenadores de esta manera
",
3/16/2023 11:47:32,ISAM,1,2.50,6.67,4,3,3,GafasVR,D,Fallo,B,Fallo,D,Acierto,D,Fallo,traceroute sirve tanto para averiguar si existe una ruta de una máquina a otra como para saber cual es ese camino.,"Si, aunque considero que tambien ha influido el que supiera baste bien como funcionaba antes de la animación, aunque verlo me ha aclarado algunas cosas en las que podía tener dudas y me ha confirmado algunas sospechas sobre su funcionamiento.",
3/16/2023 11:49:09,ISAM,0,0.00,6.67,4,3,3,GafasVR,B,Fallo,B,Fallo,C,Fallo,D,Fallo,La utilidad que tiene el traceroute es que sirve para mostrar la ruta que va a hacer un comando para permitír llegar la trama a su destino por los hubs y los routers ,Si me ha ayudado vastante a entender el funcionamiento de las cosas debido a su inmersión,
3/16/2023 11:50:49,ISAM,0,0.00,4.67,2,2,3,GafasVR,B,Fallo,C,Fallo,C,Fallo,D,Fallo,El traceroute muestra una aproximación de la ruta que siguen los datagramas IP hasta su destino. ,Se hace ver más interesante e intuitivo ,
3/16/2023 11:50:52,ISAM,0,0.00,7.33,4,4,3,GafasVR,B,Fallo,B,Fallo,B,Fallo,D,Fallo,"Permite conocer que camino seguirán los mensajes que envíe una máquina a otra, ya que mostrará todas las direcciones por las que tendrá que pasar un mensaje hasta llegar a su destino.",La animación es mucho más útil ya que puedes conocer en tiempo real cómo funciona traceroute y que pasos y caminos sigue. Creo que es mucho más cómodo estudiar con una referencia visual como la animación ya que los conceptos son más fáciles de entender. ,
3/16/2023 11:52:08,ISAM,4,10.00,8.00,4,4,4,Animacion3D,C,Acierto,A,Acierto,D,Acierto,C,Acierto,"Traceroute te permite conocer la ruta que hace desde una maquina a otra, te permite conocer las ips de los ruters que hay entre medias, si tienen conectividad de vuelta o si no puedes conectarte al destino.",Si ya que es muy visual y mejora la comprension,
3/16/2023 11:54:39,ISAM,4,10.00,6.00,3,2,4,GafasVR,C,Acierto,A,Acierto,D,Acierto,C,Acierto,Se encarga de decir el tiempo que tarda en llegar un paquete al host remaoto y el tiempo que tarda el host en devolver una respuesta.También puede decirnos si existe un fallo en el proceso.,"si, debido a que al interactuar con la animación puede estar mas pendiente de ella.",
3/16/2023 11:54:49,ISAM,1,2.50,7.33,3,4,4,GafasVR,B,Fallo,B,Fallo,A,Fallo,C,Acierto,Sirve para saber las direcciones ip que siguen unos datagramas hacia su destino (el encaminamiento),Si ya que se entiende mejor con una vista mas cercana,
3/16/2023 11:58:40,ISAM,3,7.50,8.00,4,3,5,Animacion3D,C,Acierto,B,Fallo,D,Acierto,C,Acierto,"Traceroute sirve para saber si un camino llega o no, y puede propocionar información sobre dónde se corta o no llega el mensaje.","Es muy útil a la hora para saber el paso a paso de un traceroute, me ha ayudado bastante para comprender la situación.",
3/16/2023 12:01:04,ISAM,1,2.50,4.00,1,2,3,Animacion3D,C,Acierto,B,Fallo,A,Fallo,A,Fallo,La utilidad que tiene traceroute es principalmente para comprobar porque routers pasan los datagramas cuando se ejecuta el comando tracerout.,"que te enseñen el proceso de una manera mas visual, porque es complicado a veces comprender las cosas si no tienes una explicación mas gráfica/visual. Te ayuda bastante en mi opinion.",
3/16/2023 12:03:59,ISAM,0,0.00,8.00,4,4,4,Diapositivas,B,Fallo,B,Fallo,B,Fallo,B,Fallo,Traceroute sirve para saber por que sitios pasan los paquetes cuando va a una dirección ,,
3/16/2023 12:04:18,ISAM,0,0.00,6.00,3,3,3,GafasVR,D,Fallo,B,Fallo,A,Fallo,D,Fallo,saber por cuantos routers pasan los paquetes y las direcciones ip de estos mismos,"Si, al ser mas dinámico y en mi caso el haber usado las vr y poder interactuar más con el entorno, es mas fácil de comprender sobretodo por lo guiado que es el video",
